Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,ABCAPITAL,EQ,N,79.8,75.8,79.0,76.7,76.6,77.5,1238881,96896882.35,115.35,75.5,18353,INE674K01013,2020-03-02,78.21,
996,ABCAPITAL,EQ,N,78.85,76.8,77.25,77.85,78.0,76.7,1304622,101290512.9,115.35,75.5,14283,INE674K01013,2020-03-03,77.64,0.014882189906797016
1000,ABCAPITAL,EQ,N,79.15,74.1,78.9,75.45,75.3,77.85,1415274,108232291.95,115.35,74.1,13014,INE674K01013,2020-03-04,76.47,-0.03131371306614916
1005,ABCAPITAL,EQ,N,79.5,75.65,75.65,78.2,78.25,75.45,1439424,112359011.4,115.35,74.1,12838,INE674K01013,2020-03-05,78.06,0.035799462337407384
1006,ABCAPITAL,EQ,N,74.8,73.0,74.45,74.2,74.2,78.2,1942971,143682703.55,115.35,73.0,17629,INE674K01013,2020-03-06,73.95,-0.052505497377930865
1007,ABCAPITAL,EQ,N,71.2,66.0,69.05,67.55,67.6,74.2,2945950,201672624.6,115.35,66.0,22169,INE674K01013,2020-03-09,68.46,-0.09389608576712671
1008,ABCAPITAL,EQ,N,70.4,67.1,68.2,68.0,67.3,67.55,1446517,99092517.3,115.35,66.0,12682,INE674K01013,2020-03-11,68.5,0.006639640769899202
1009,ABCAPITAL,EQ,N,65.0,57.05,64.0,58.8,60.0,68.0,3763720,228768203.95,115.35,57.05,20843,INE674K01013,2020-03-12,60.78,-0.14536585027152604
1010,ABCAPITAL,EQ,N,62.3,47.05,51.0,60.15,61.3,58.8,5129497,294536138.2,115.35,47.05,24802,INE674K01013,2020-03-13,57.42,0.022699587516107123
1011,ABCAPITAL,EQ,N,59.0,55.0,59.0,55.8,55.05,60.15,2131580,120892724.2,115.35,47.05,15044,INE674K01013,2020-03-16,56.72,-0.07506757303342315
1012,ABCAPITAL,EQ,N,56.6,52.2,55.3,52.85,53.3,55.8,2110122,113989600.25,115.35,47.05,14918,INE674K01013,2020-03-17,54.02,-0.054316157071018
1013,ABCAPITAL,EQ,N,54.7,48.8,53.55,49.45,49.5,52.85,2465050,124274098.8,115.35,47.05,16030,INE674K01013,2020-03-18,50.41,-0.06649565424752568
