Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,BPCL,EQ,N,441.85,406.5,432.0,412.35,410.95,426.35,7812190,3328630289.25,549.0,308.35,79514,INE029A01011,2020-03-02,426.08,
996,BPCL,EQ,N,427.15,413.5,415.1,425.0,424.4,412.35,5707796,2398540730.8,549.0,308.35,78776,INE029A01011,2020-03-03,420.22,0.030216665645053098
1001,BPCL,EQ,N,428.7,405.4,422.1,418.7,413.8,425.0,7728757,3255329270.15,549.0,308.35,79179,INE029A01011,2020-03-04,421.2,-0.014934495899319167
1007,BPCL,EQ,N,429.15,417.05,418.65,418.4,419.0,418.7,5725414,2414715886.85,549.0,308.35,88699,INE029A01011,2020-03-05,421.75,-0.0007167602743844981
1008,BPCL,EQ,N,409.85,398.0,400.2,403.1,400.8,418.4,7881457,3173332931.15,549.0,308.35,115190,INE029A01011,2020-03-06,402.63,-0.03725324262759333
1009,BPCL,EQ,N,454.4,405.8,413.9,423.85,425.05,403.1,39795397,17266039257.75,549.0,308.35,350328,INE029A01011,2020-03-09,433.87,0.050194948931294725
1010,BPCL,EQ,N,423.35,401.05,423.35,404.4,402.0,423.85,14748108,6034971757.45,549.0,308.35,135692,INE029A01011,2020-03-11,409.2,-0.04697513190809843
1011,BPCL,EQ,N,392.55,330.55,391.3,344.3,375.0,404.4,17598240,6259693552.95,549.0,308.35,193966,INE029A01011,2020-03-12,355.7,-0.16089111680183876
1012,BPCL,EQ,N,396.7,275.45,337.8,376.05,377.5,344.3,25412132,9166205884.5,549.0,275.45,213766,INE029A01011,2020-03-13,360.7,0.08820874292793413
1013,BPCL,EQ,N,387.25,349.7,350.0,364.65,364.45,376.05,16657490,6226095919.1,549.0,275.45,199910,INE029A01011,2020-03-16,373.77,-0.030784123842169997
1014,BPCL,EQ,N,385.65,354.0,365.0,357.2,356.0,364.65,9824972,3642321880.95,549.0,275.45,126964,INE029A01011,2020-03-17,370.72,-0.020642140427898248
1015,BPCL,EQ,N,366.05,328.2,363.95,332.55,332.4,357.2,10209326,3470399489.9,549.0,275.45,125887,INE029A01011,2020-03-18,339.92,-0.07150562427191343
1016,BPCL,EQ,N,320.0,285.4,311.0,300.25,297.3,332.55,13717542,4172980585.4,549.0,275.45,178819,INE029A01011,2020-03-19,304.21,-0.1021747637703374
1017,BPCL,EQ,N,323.0,298.6,305.0,317.85,322.0,300.25,10196662,3178967462.75,549.0,275.45,113727,INE029A01011,2020-03-20,311.77,0.056964112422325464
1018,BPCL,EQ,N,298.0,262.3,285.0,269.35,273.0,317.85,9348723,2624611612.8,549.0,262.3,141357,INE029A01011,2020-03-23,280.75,-0.16556792425587563
1019,BPCL,EQ,N,283.0,252.0,277.7,262.85,268.0,269.35,9767226,2568720680.5,549.0,252.0,167585,INE029A01011,2020-03-24,262.99,-0.024428121861085117
1020,BPCL,EQ,N,276.95,252.6,252.6,273.75,272.85,262.85,7459922,1996238053.35,549.0,252.0,126120,INE029A01011,2020-03-25,267.6,0.040631753865253195
1021,BPCL,EQ,N,286.4,268.5,275.0,282.3,281.95,273.75,6314142,1770171855.85,549.0,252.0,100178,INE029A01011,2020-03-26,280.35,0.030755054128732695
1022,BPCL,EQ,N,304.0,274.2,290.0,278.75,278.95,282.3,6077944,1741051250.8,549.0,252.0,88760,INE029A01011,2020-03-27,286.45,-0.012655012485114803
