Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,FEDERALBNK,EQ,N,88.2,81.65,87.95,82.8,83.1,85.9,12883824,1093657805.4,110.4,79.0,42792,INE171A01029,2020-03-02,84.89,
996,FEDERALBNK,EQ,N,85.5,82.5,83.55,84.5,84.55,82.8,8678728,729817242.5,110.4,79.0,26594,INE171A01029,2020-03-03,84.09,0.02032347297191439
1002,FEDERALBNK,EQ,N,84.75,82.1,84.4,83.45,83.5,84.5,7890014,659133836.3,110.4,79.0,29696,INE171A01029,2020-03-04,83.54,-0.012503884255283815
1005,FEDERALBNK,EQ,N,84.95,83.0,84.8,83.2,83.1,83.45,9188495,770846463.65,110.4,79.0,32728,INE171A01029,2020-03-05,83.89,-0.0030003022806814883
1006,FEDERALBNK,EQ,N,81.25,76.3,78.7,80.05,80.05,83.2,10354678,826571079.0,110.4,76.3,55702,INE171A01029,2020-03-06,79.83,-0.038595908384438715
1007,FEDERALBNK,EQ,N,78.6,69.75,77.5,72.85,73.05,80.05,26933103,1973148507.65,110.4,69.75,71126,INE171A01029,2020-03-09,73.26,-0.09424890680151066
1008,FEDERALBNK,EQ,N,75.2,71.0,72.9,71.35,71.4,72.85,21213682,1542062111.25,110.4,69.75,59471,INE171A01029,2020-03-11,72.69,-0.020805188718368228
1009,FEDERALBNK,EQ,N,68.45,62.45,68.0,63.1,63.65,71.35,29022639,1878069577.15,110.4,62.45,68960,INE171A01029,2020-03-12,64.71,-0.12287657437567745
1010,FEDERALBNK,EQ,N,69.25,53.65,56.8,68.5,69.0,63.1,22602120,1425078173.05,110.4,53.65,57223,INE171A01029,2020-03-13,63.05,0.08211297572101195
1011,FEDERALBNK,EQ,N,66.2,62.5,64.7,63.1,62.95,68.5,17226131,1103366984.5,110.4,53.65,57019,INE171A01029,2020-03-16,64.05,-0.08211297572101195
1012,FEDERALBNK,EQ,N,64.0,57.0,63.05,58.3,57.75,63.1,15971068,967657507.85,110.4,53.65,62507,INE171A01029,2020-03-17,60.59,-0.07911867619072144
1013,FEDERALBNK,EQ,N,59.55,50.2,58.3,54.25,56.0,58.3,30070958,1614283687.95,110.4,50.2,77418,INE171A01029,2020-03-18,53.68,-0.07199910093587736
