Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,ICICIGI,EQ,N,1271.95,1129.95,1237.1,1199.1,1180.0,1236.65,436775,541037700.55,1440.4,937.4,36975,INE765G01017,2020-03-02,1238.71,
996,ICICIGI,EQ,N,1238.0,1198.0,1199.0,1210.95,1226.05,1199.1,384410,468919183.3,1440.4,937.4,47518,INE765G01017,2020-03-03,1219.84,0.00983390012374663
1000,ICICIGI,EQ,N,1239.7,1205.3,1235.0,1214.5,1213.2,1210.95,599176,734675534.25,1440.4,937.4,42434,INE765G01017,2020-03-04,1226.14,0.0029272939330935444
1005,ICICIGI,EQ,N,1279.8,1212.05,1222.0,1262.75,1273.0,1214.5,485211,609267199.2,1440.4,937.4,43808,INE765G01017,2020-03-05,1255.67,0.03895941290593452
1006,ICICIGI,EQ,N,1268.0,1226.3,1250.5,1264.4,1265.0,1262.75,718345,901649043.8,1440.4,937.4,34574,INE765G01017,2020-03-06,1255.18,0.0013058189933010667
1007,ICICIGI,EQ,N,1261.0,1190.0,1261.0,1207.9,1222.05,1264.4,732840,896619576.2,1440.4,937.4,36177,INE765G01017,2020-03-09,1223.49,-0.045714386730230316
1008,ICICIGI,EQ,N,1225.1,1160.5,1210.0,1190.05,1186.9,1207.9,642604,762414756.45,1440.4,937.4,68864,INE765G01017,2020-03-11,1186.45,-0.0148879915816158
1009,ICICIGI,EQ,N,1169.8,1072.0,1135.65,1104.15,1101.0,1190.05,1468823,1619193870.05,1440.4,937.4,84101,INE765G01017,2020-03-12,1102.38,-0.07491951485679227
1010,ICICIGI,EQ,N,1150.0,883.35,1010.0,1125.65,1125.0,1104.15,1166978,1264449815.1,1440.4,883.35,41432,INE765G01017,2020-03-13,1083.52,0.0192848383941584
1011,ICICIGI,EQ,N,1197.4,1042.05,1099.8,1087.8,1055.0,1125.65,625791,694439235.75,1440.4,883.35,64524,INE765G01017,2020-03-16,1109.7,-0.03420333857812263
1012,ICICIGI,EQ,N,1123.2,1045.2,1075.0,1075.25,1066.0,1087.8,407327,443211818.45,1440.4,883.35,55830,INE765G01017,2020-03-17,1088.1,-0.011604115325014597
1013,ICICIGI,EQ,N,1099.0,962.0,1066.55,995.8,1003.0,1075.25,1302437,1310564000.45,1440.4,883.35,76046,INE765G01017,2020-03-18,1006.24,-0.07676203745576338
1014,ICICIGI,EQ,N,1121.0,805.0,950.0,1029.4,1014.0,995.8,990239,959896767.4,1440.4,805.0,65714,INE765G01017,2020-03-19,969.36,0.033184953010572116
1015,ICICIGI,EQ,N,1074.25,950.0,1050.0,1004.45,1013.0,1029.4,1765061,1781617190.7,1440.4,805.0,129341,INE765G01017,2020-03-20,1009.38,-0.024535980210496078
1016,ICICIGI,EQ,N,949.95,820.0,910.0,826.3,835.0,1004.45,596466,517700275.6,1440.4,805.0,58883,INE765G01017,2020-03-23,867.95,-0.19523750330102008
1017,ICICIGI,EQ,N,929.0,815.75,818.05,850.95,825.0,826.3,907494,790103778.7,1440.4,805.0,60499,INE765G01017,2020-03-24,870.64,0.029395468733548036
1018,ICICIGI,EQ,N,995.0,846.4,855.5,984.95,989.0,850.95,1161295,1085353257.25,1440.4,805.0,81940,INE765G01017,2020-03-25,934.61,0.14623750602167807
1019,ICICIGI,EQ,N,1181.9,997.05,1000.0,1096.8,1094.75,984.95,1897600,2124187720.1,1440.4,805.0,83736,INE765G01017,2020-03-26,1119.41,0.10756124978574011
1020,ICICIGI,EQ,N,1179.7,980.0,1080.0,1022.75,1022.75,1096.8,756641,814419918.2,1440.4,805.0,85418,INE765G01017,2020-03-27,1076.36,-0.06990177143859633
1021,ICICIGI,EQ,N,1088.0,998.75,998.75,1027.7,1025.0,1022.75,427414,448591421.8,1440.4,805.0,47535,INE765G01017,2020-03-30,1049.55,0.0048282178215188765
1022,ICICIGI,EQ,N,1102.95,1030.0,1065.0,1081.65,1100.0,1027.7,1302717,1393092908.3,1440.4,805.0,57424,INE765G01017,2020-03-31,1069.37,0.051164357399851035
1023,ICICIGI,EQ,N,1143.0,1051.1,1084.0,1105.75,1105.0,1081.65,538692,594471837.95,1440.4,805.0,56126,INE765G01017,2020-04-01,1103.55,0.02203618471755764
1024,ICICIGI,EQ,N,1119.9,1013.0,1100.0,1045.05,1040.05,1105.75,1099047,1151687984.4,1440.4,805.0,78555,INE765G01017,2020-04-03,1047.9,-0.05645910660419862
1025,ICICIGI,EQ,N,1195.0,1072.0,1072.0,1154.45,1153.8,1045.05,812060,911001083.5,1440.4,805.0,77084,INE765G01017,2020-04-07,1121.84,0.09955930892077536
1026,ICICIGI,EQ,N,1179.9,1108.05,1110.0,1150.95,1118.95,1154.45,575191,663053443.9,1440.4,805.0,68651,INE765G01017,2020-04-08,1152.75,-0.003036351773228141
1027,ICICIGI,EQ,N,1227.95,1125.0,1130.0,1169.0,1164.0,1150.95,1307789,1543625071.2,1440.4,805.0,39622,INE765G01017,2020-04-09,1180.33,0.015560994180283672
968,ICICIGI,EQ,N,1178.8,1101.0,1165.0,1146.7,1159.9,1169.0,542846,620082317.85,1440.4,805.0,49488,INE765G01017,2020-04-13,1142.28,-0.019260430427809005
969,ICICIGI,EQ,N,1214.4,1139.1,1169.45,1152.85,1152.0,1146.7,761158,896420029.15,1440.4,805.0,82887,INE765G01017,2020-04-15,1177.71,0.005348885358363198
970,ICICIGI,EQ,N,1223.7,1136.8,1152.85,1157.25,1150.0,1152.85,809381,946436392.0,1440.4,805.0,66252,INE765G01017,2020-04-16,1169.33,0.0038093635087577127
971,ICICIGI,EQ,N,1212.7,1173.35,1174.85,1199.4,1212.0,1157.25,701251,841811811.45,1440.4,805.0,30930,INE765G01017,2020-04-17,1200.44,0.035774930823029294
972,ICICIGI,EQ,N,1233.5,1175.0,1215.0,1190.3,1190.45,1199.4,734858,883124956.6,1440.4,805.0,44835,INE765G01017,2020-04-20,1201.76,-0.007616055560575319
973,ICICIGI,EQ,N,1199.8,1130.2,1175.0,1159.2,1155.0,1190.3,611851,701327481.5,1440.4,805.0,29312,INE765G01017,2020-04-21,1146.24,-0.026475264167361345
974,ICICIGI,EQ,N,1160.05,1126.0,1159.15,1139.4,1134.8,1159.2,348313,397335763.45,1440.4,805.0,32816,INE765G01017,2020-04-22,1140.74,-0.01722830396017727
975,ICICIGI,EQ,N,1199.0,1140.0,1149.8,1190.85,1193.95,1139.4,348769,412628240.45,1440.4,805.0,32912,INE765G01017,2020-04-23,1183.1,0.044165529792937086
976,ICICIGI,EQ,N,1201.0,1126.0,1160.0,1136.5,1127.9,1190.85,682327,796708654.1,1440.4,805.0,44301,INE765G01017,2020-04-24,1167.63,-0.04671397354663487
977,ICICIGI,EQ,N,1205.0,1137.1,1140.0,1194.0,1200.0,1136.5,567752,671070544.0,1440.4,805.0,27679,INE765G01017,2020-04-27,1181.98,0.04935565065995018
978,ICICIGI,EQ,N,1206.9,1180.0,1204.9,1195.45,1192.7,1194.0,983106,1174813373.4,1440.4,805.0,18166,INE765G01017,2020-04-28,1195.0,0.001213668566395043
