Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,IDBI,EQ,N,31.1,28.0,30.7,29.8,29.9,30.6,1391333,42418603.75,48.15,23.65,4957,INE008A01015,2020-03-02,30.49,
996,IDBI,EQ,N,30.4,29.1,29.6,29.45,29.5,29.8,1442306,42666554.75,48.15,23.65,4765,INE008A01015,2020-03-03,29.58,-0.01181448341376301
1001,IDBI,EQ,N,29.75,28.2,29.5,28.55,28.5,29.45,1921570,55280474.05,48.15,23.65,7644,INE008A01015,2020-03-04,28.77,-0.031036973995576478
1008,IDBI,EQ,N,30.4,28.1,28.65,29.9,29.8,28.55,2520562,74335442.3,48.15,23.65,6605,INE008A01015,2020-03-05,29.49,0.04620154429462131
1009,IDBI,EQ,N,27.95,25.9,26.9,27.15,26.95,29.9,2595322,70861439.65,48.15,23.65,9376,INE008A01015,2020-03-06,27.3,-0.09648143401669618
1010,IDBI,EQ,N,26.7,24.95,26.7,25.2,25.1,27.15,2012256,51096709.85,47.45,23.65,5833,INE008A01015,2020-03-09,25.39,-0.07453305186256687
1011,IDBI,EQ,N,26.3,25.05,25.2,25.7,25.55,25.2,1946584,50085170.15,47.45,23.65,6315,INE008A01015,2020-03-11,25.73,0.019646997383796716
1012,IDBI,EQ,N,24.5,21.0,24.5,21.2,21.3,25.7,3535314,78556091.0,47.45,21.0,10774,INE008A01015,2020-03-12,22.22,-0.19248981022320732
1013,IDBI,EQ,N,25.0,17.25,18.1,23.3,23.1,21.2,3862106,83146359.25,47.45,17.25,13387,INE008A01015,2020-03-13,21.53,0.09445217889368784
1014,IDBI,EQ,N,23.1,21.15,21.15,22.4,22.55,23.3,1979035,44072254.05,47.45,17.25,8259,INE008A01015,2020-03-16,22.27,-0.03939240171066061
1015,IDBI,EQ,N,23.4,21.2,22.6,21.6,21.35,22.4,2006156,44983875.85,47.45,17.25,6948,INE008A01015,2020-03-17,22.42,-0.03636764417087468
1016,IDBI,EQ,N,22.45,20.2,21.7,20.75,20.85,21.6,2170638,45718060.85,47.45,17.25,9266,INE008A01015,2020-03-18,21.06,-0.040147068013411946
1017,IDBI,EQ,N,21.45,19.0,20.05,20.35,20.55,20.75,2413803,48860669.45,47.45,17.25,11497,INE008A01015,2020-03-19,20.24,-0.019465334788103306
1018,IDBI,EQ,N,22.8,19.9,21.0,22.1,22.15,20.35,3031811,64683996.85,47.45,17.25,11218,INE008A01015,2020-03-20,21.34,0.08249669663510284
1019,IDBI,EQ,N,21.4,19.2,21.35,19.5,19.75,22.1,1377389,27636363.8,47.45,17.25,5899,INE008A01015,2020-03-23,20.06,-0.1251631429540061
1020,IDBI,EQ,N,20.5,18.3,20.0,18.45,18.4,19.5,1735852,32888682.55,47.45,17.25,7155,INE008A01015,2020-03-24,18.95,-0.055350095083164685
1021,IDBI,EQ,N,18.45,17.5,18.4,17.8,17.8,18.45,1484646,26616533.1,47.45,17.25,5599,INE008A01015,2020-03-25,17.93,-0.035865913188496634
1022,IDBI,EQ,N,20.0,17.8,18.25,19.3,19.3,17.8,2399221,45454552.1,47.45,17.25,7247,INE008A01015,2020-03-26,18.95,0.08090663861280012
1023,IDBI,EQ,N,20.9,19.2,19.6,19.7,19.75,19.3,2481949,49932944.35,47.45,17.25,9896,INE008A01015,2020-03-27,20.12,0.02051353983310289
1024,IDBI,EQ,N,19.7,18.5,19.7,19.1,19.15,19.7,1028359,19770215.3,47.45,17.25,5366,INE008A01015,2020-03-30,19.23,-0.03093030069135816
1025,IDBI,EQ,N,20.0,19.0,19.25,19.3,19.2,19.1,1274527,24587325.05,47.45,17.25,4519,INE008A01015,2020-03-31,19.29,0.01041676085825527
1026,IDBI,EQ,N,19.5,18.6,19.45,19.3,19.5,19.3,1052765,20146739.1,47.45,17.25,4000,INE008A01015,2020-04-01,19.14,0.0
1027,IDBI,EQ,N,19.85,19.0,19.75,19.4,19.6,19.3,980265,19054912.15,47.45,17.25,4102,INE008A01015,2020-04-03,19.44,0.005167970158442614
1028,IDBI,EQ,N,20.15,19.5,20.0,19.95,19.95,19.4,1719334,34111622.55,45.75,17.25,5191,INE008A01015,2020-04-07,19.84,0.027956077266590107
1029,IDBI,EQ,N,20.7,19.5,20.0,19.7,19.75,19.95,1969534,39593689.5,45.75,17.25,5157,INE008A01015,2020-04-08,20.1,-0.012610507591929832
1030,IDBI,EQ,N,21.7,20.55,20.95,21.3,21.35,19.7,3008993,63286535.05,45.75,17.25,9963,INE008A01015,2020-04-09,21.03,0.07808843697143697
968,IDBI,EQ,N,21.5,20.2,21.3,20.7,20.75,21.3,1554265,32177821.4,44.45,17.25,5074,INE008A01015,2020-04-13,20.7,-0.028573372444056222
969,IDBI,EQ,N,21.2,20.45,20.55,20.55,20.55,20.7,1457615,30350361.95,44.45,17.25,7023,INE008A01015,2020-04-15,20.82,-0.007272759329079559
970,IDBI,EQ,N,20.9,20.1,20.4,20.75,20.85,20.55,706736,14557525.4,44.45,17.25,3108,INE008A01015,2020-04-16,20.6,0.00968530573446369
971,IDBI,EQ,N,21.5,20.8,21.5,21.15,21.2,20.75,1836808,38855230.25,44.45,17.25,5355,INE008A01015,2020-04-17,21.15,0.01909365881557923
972,IDBI,EQ,N,22.9,21.0,21.3,22.45,22.3,21.15,3553469,79107744.55,44.4,17.25,9929,INE008A01015,2020-04-20,22.26,0.05965070869597655
