Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,INDHOTEL,EQ,N,138.65,130.05,134.15,133.85,132.7,135.0,7551033,1013000556.85,164.3,121.3,25926,INE053A01029,2020-03-02,134.15,
996,INDHOTEL,EQ,N,135.75,128.05,134.0,133.0,133.3,133.85,1732229,228377710.4,164.3,121.3,20606,INE053A01029,2020-03-03,131.84,-0.006370641744608108
1001,INDHOTEL,EQ,N,132.95,121.3,131.4,123.85,123.7,133.0,3318780,423440152.95,164.3,121.3,36439,INE053A01029,2020-03-04,127.59,-0.071277972286385
1006,INDHOTEL,EQ,N,125.85,115.0,124.5,118.95,119.7,123.85,5905737,692349167.45,164.3,115.0,52818,INE053A01029,2020-03-05,117.23,-0.04036791918640237
1007,INDHOTEL,EQ,N,122.9,113.2,115.0,120.9,118.85,118.95,3251563,382977521.15,164.3,113.2,19099,INE053A01029,2020-03-06,117.78,0.016260520871780315
1008,INDHOTEL,EQ,N,118.95,112.0,118.7,115.35,114.5,120.9,1363256,157283292.4,164.3,112.0,49590,INE053A01029,2020-03-09,115.37,-0.04699277300098448
1009,INDHOTEL,EQ,N,115.9,111.75,115.0,114.1,115.0,115.35,1807420,205652034.0,164.3,111.75,33515,INE053A01029,2020-03-11,113.78,-0.01089572775173231
1010,INDHOTEL,EQ,N,117.4,96.4,109.35,110.1,111.0,114.1,21657388,2312977925.55,164.3,96.4,69961,INE053A01029,2020-03-12,106.8,-0.03568621313939602
1011,INDHOTEL,EQ,N,116.65,100.05,100.05,115.15,115.15,110.1,5726676,632376325.8,164.3,96.4,43022,INE053A01029,2020-03-13,110.43,0.044846582538060176
1012,INDHOTEL,EQ,N,110.45,99.85,106.2,109.15,107.0,115.15,4693097,501357607.65,164.3,96.4,97531,INE053A01029,2020-03-16,106.83,-0.05351254327074084
1013,INDHOTEL,EQ,N,109.15,99.0,106.0,99.75,100.05,109.15,3319778,334285120.6,164.3,96.4,28322,INE053A01029,2020-03-17,100.7,-0.09005602722598027
1014,INDHOTEL,EQ,N,102.95,86.65,100.35,90.05,90.0,99.75,2058750,186893643.0,164.3,86.65,28893,INE053A01029,2020-03-18,90.78,-0.10230198414800817
1015,INDHOTEL,EQ,N,87.8,81.0,86.5,83.55,85.95,90.05,1877988,155401488.2,164.3,81.0,19448,INE053A01029,2020-03-19,82.75,-0.0749198165805618
1016,INDHOTEL,EQ,N,92.0,82.2,84.0,90.6,90.6,83.55,1149543,99144337.1,164.3,81.0,13819,INE053A01029,2020-03-20,86.25,0.08100895800753083
1017,INDHOTEL,EQ,N,85.7,73.2,80.0,74.65,76.15,90.6,1638469,132173454.25,164.3,73.2,16330,INE053A01029,2020-03-23,80.67,-0.19364368906373475
1018,INDHOTEL,EQ,N,80.7,73.25,75.5,77.15,77.05,74.65,1045057,80414597.35,164.3,73.2,12503,INE053A01029,2020-03-24,76.95,0.03294105482397125
1019,INDHOTEL,EQ,N,81.0,72.1,74.0,75.55,73.05,77.15,4363598,333086897.4,164.3,72.1,32839,INE053A01029,2020-03-25,76.33,-0.020956890090421787
1020,INDHOTEL,EQ,N,82.95,73.3,74.6,78.25,77.5,75.55,2721401,215620755.4,164.3,72.1,42073,INE053A01029,2020-03-26,79.23,0.03511414070151453
1021,INDHOTEL,EQ,N,81.25,74.1,79.0,75.9,75.5,78.25,1146598,87716985.95,164.3,72.1,26470,INE053A01029,2020-03-27,76.5,-0.030492145018678585
1022,INDHOTEL,EQ,N,77.6,73.25,75.9,75.2,74.85,75.9,1474945,110700119.25,164.3,72.1,25788,INE053A01029,2020-03-30,75.05,-0.009265453445790328
1023,INDHOTEL,EQ,N,77.0,73.3,77.0,75.0,75.05,75.2,1441863,107898694.15,164.3,72.1,42296,INE053A01029,2020-03-31,74.83,-0.0026631174194839957
1024,INDHOTEL,EQ,N,76.5,70.3,74.5,72.0,71.95,75.0,2806461,204297398.05,164.3,70.3,19936,INE053A01029,2020-04-01,72.8,-0.04082199452025481
1025,INDHOTEL,EQ,N,73.8,69.0,73.8,69.35,69.3,72.0,1324966,93153164.05,164.3,69.0,18561,INE053A01029,2020-04-03,70.31,-0.03749997225521451
1026,INDHOTEL,EQ,N,75.0,69.75,75.0,73.9,73.0,69.35,2760515,196821622.85,164.3,69.0,25904,INE053A01029,2020-04-07,71.3,0.06354668119331564
1027,INDHOTEL,EQ,N,80.4,72.6,74.9,75.05,75.25,73.9,4302515,325701365.85,164.3,69.0,22002,INE053A01029,2020-04-08,75.7,0.015441730125314912
1028,INDHOTEL,EQ,N,77.45,74.4,76.0,75.35,75.7,75.05,2069115,156436351.2,164.3,69.0,20644,INE053A01029,2020-04-09,75.61,0.003989366993033094
968,INDHOTEL,EQ,N,75.2,72.2,75.0,72.45,72.45,75.35,2620169,191020242.5,164.3,69.0,13938,INE053A01029,2020-04-13,72.9,-0.039247256305812606
969,INDHOTEL,EQ,N,84.8,72.2,72.2,82.25,81.35,72.45,8202964,621022009.55,164.3,69.0,36168,INE053A01029,2020-04-15,75.71,0.12686672087878925
970,INDHOTEL,EQ,N,83.5,78.15,79.0,80.7,80.5,82.25,3277041,260887533.7,164.3,69.0,21912,INE053A01029,2020-04-16,79.61,-0.019024814369577925
971,INDHOTEL,EQ,N,85.0,80.1,84.0,80.5,80.8,80.7,1368527,112687018.05,164.3,69.0,20321,INE053A01029,2020-04-17,82.34,-0.0024813908513854344
972,INDHOTEL,EQ,N,84.95,81.1,83.8,81.4,81.4,80.5,1316184,108749338.9,164.3,69.0,22155,INE053A01029,2020-04-20,82.62,0.011118088583977226
973,INDHOTEL,EQ,N,80.0,76.35,79.95,79.6,79.55,81.4,6219676,481944894.9,164.3,69.0,13857,INE053A01029,2020-04-21,77.49,-0.0223611801581578
974,INDHOTEL,EQ,N,83.95,76.75,81.85,77.7,77.7,79.6,7901392,617096523.35,164.3,69.0,21501,INE053A01029,2020-04-22,78.1,-0.024158835476735696
975,INDHOTEL,EQ,N,82.0,77.25,77.25,78.7,78.45,77.7,4236730,333898932.75,164.3,69.0,19645,INE053A01029,2020-04-23,78.81,0.012787898049755775
976,INDHOTEL,EQ,N,80.7,75.35,77.6,76.0,76.0,78.7,2580911,200995396.3,164.3,69.0,18909,INE053A01029,2020-04-24,77.88,-0.03490981513702618
977,INDHOTEL,EQ,N,79.8,73.8,76.35,74.2,74.05,76.0,1648921,124866733.8,164.3,69.0,18027,INE053A01029,2020-04-27,75.73,-0.023969190112996586
978,INDHOTEL,EQ,N,76.0,73.4,74.85,75.1,75.0,74.2,2926315,218806311.45,164.3,69.0,7805,INE053A01029,2020-04-28,74.77,0.012056408596754942
979,INDHOTEL,EQ,N,76.4,75.0,75.25,75.35,75.15,75.1,560417,42357812.0,164.3,69.0,4978,INE053A01029,2020-04-29,75.58,0.0033233663024150317
980,INDHOTEL,EQ,N,81.0,75.65,75.65,79.9,79.8,75.35,4184284,331939092.15,164.3,69.0,28438,INE053A01029,2020-04-30,79.33,0.05863192769972425
981,INDHOTEL,EQ,N,77.0,72.45,77.0,72.65,73.15,79.9,2044536,150504401.65,164.3,69.0,27498,INE053A01029,2020-05-04,73.61,-0.09512246275593661
982,INDHOTEL,EQ,N,74.45,72.2,74.45,73.1,73.1,72.65,6707245,489814436.5,164.3,69.0,7263,INE053A01029,2020-05-05,73.03,0.006174976739441007
983,INDHOTEL,EQ,N,73.85,71.1,73.85,71.45,71.35,73.1,592120,42681718.4,164.3,69.0,7351,INE053A01029,2020-05-06,72.08,-0.022830462379856975
984,INDHOTEL,EQ,N,71.8,69.65,71.15,69.95,69.95,71.45,1157428,81285799.05,164.3,69.0,28999,INE053A01029,2020-05-07,70.23,-0.02121720326438581
985,INDHOTEL,EQ,N,71.7,65.7,71.0,67.25,66.0,69.95,1196854,82456421.65,164.3,65.7,12077,INE053A01029,2020-05-08,68.89,-0.03936368262954204
986,INDHOTEL,EQ,N,68.35,65.05,66.4,66.05,66.0,67.25,1708999,113171708.95,164.3,65.05,18462,INE053A01029,2020-05-11,66.22,-0.018004987513614346
987,INDHOTEL,EQ,N,66.45,64.5,66.1,64.9,65.1,66.05,1186697,77227498.7,164.3,64.5,13871,INE053A01029,2020-05-12,65.08,-0.01756440725828945
988,INDHOTEL,EQ,N,70.0,66.15,70.0,67.2,67.35,64.9,2293592,155087552.95,164.3,64.5,19712,INE053A01029,2020-05-13,67.62,0.03482562381905918
989,INDHOTEL,EQ,N,66.8,65.2,65.5,65.7,65.95,67.2,941741,62052857.95,164.3,64.5,11924,INE053A01029,2020-05-14,65.89,-0.022574322038538597
990,INDHOTEL,EQ,N,68.4,64.55,65.2,67.85,68.15,65.7,3502700,233708555.3,164.3,64.5,35550,INE053A01029,2020-05-15,66.72,0.032200460790313024
991,INDHOTEL,EQ,N,65.0,62.1,65.0,62.3,62.2,67.85,1878994,118318681.1,164.3,62.1,13840,INE053A01029,2020-05-18,62.97,-0.08533796048747089
992,INDHOTEL,EQ,N,64.85,62.25,64.0,64.3,64.3,62.3,956970,60873290.8,164.3,62.1,7030,INE053A01029,2020-05-19,63.61,0.031598205450166894
