Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
768,IRFC,EQ,N,25.8,24.35,24.9,24.8,24.8,26.0,381938573,9578817396.3,25.8,24.35,496815,INE053F01010,2021-01-29,25.08,
769,IRFC,EQ,N,25.4,24.9,25.25,25.1,25.15,24.8,72044464,1810381538.7,25.8,24.35,153055,INE053F01010,2021-02-01,25.13,0.012024192966801905
770,IRFC,EQ,N,25.45,24.7,25.45,24.75,24.8,25.1,36735442,917639637.4,25.8,24.35,102457,INE053F01010,2021-02-02,24.98,-0.014042357123039029
771,IRFC,EQ,N,24.9,24.05,24.8,24.25,24.15,24.75,45816269,1126159280.6,25.8,24.05,105660,INE053F01010,2021-02-03,24.58,-0.020408871631207415
772,IRFC,EQ,N,25.8,23.85,24.25,25.35,25.3,24.25,88486029,2219440702.6,25.8,23.85,135657,INE053F01010,2021-02-04,25.08,0.04436211265370016
773,IRFC,EQ,N,26.2,25.55,25.6,25.7,25.65,25.35,56318695,1453181398.9,26.2,23.85,95724,INE053F01010,2021-02-05,25.8,0.013712261863982
774,IRFC,EQ,N,25.95,25.6,25.9,25.75,25.75,25.7,28324374,730015054.15,26.2,23.85,55647,INE053F01010,2021-02-08,25.77,0.001943635208570882
775,IRFC,EQ,N,25.8,25.2,25.75,25.3,25.2,25.75,25243532,641482924.55,26.2,23.85,59918,INE053F01010,2021-02-09,25.41,-0.017630231376270622
776,IRFC,EQ,N,25.8,25.0,25.4,25.4,25.35,25.3,33132159,841550092.4,26.2,23.85,49630,INE053F01010,2021-02-10,25.4,0.003944778291016249
777,IRFC,EQ,N,25.65,25.25,25.4,25.4,25.5,25.4,13586295,345880159.5,26.2,23.85,34239,INE053F01010,2021-02-11,25.46,0.0
