Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,JUBLFOOD,EQ,N,1793.9,1636.0,1787.0,1668.0,1654.95,1756.85,1942414,3336912945.85,1973.85,1077.9,72128,INE797F01012,2020-03-02,1717.92,
996,JUBLFOOD,EQ,N,1720.8,1626.05,1670.0,1696.45,1699.85,1668.0,2594089,4314340506.15,1973.85,1077.9,107137,INE797F01012,2020-03-03,1663.14,0.016912528428005835
1001,JUBLFOOD,EQ,N,1714.0,1618.0,1704.0,1655.2,1646.9,1696.45,1547829,2575021059.25,1973.85,1077.9,54045,INE797F01012,2020-03-04,1663.63,-0.024615984915365097
1006,JUBLFOOD,EQ,N,1745.0,1636.0,1656.0,1710.95,1710.0,1655.2,1855145,3149916854.45,1973.85,1077.9,64094,INE797F01012,2020-03-05,1697.94,0.03312692435707287
1007,JUBLFOOD,EQ,N,1704.45,1628.0,1628.0,1692.15,1692.15,1710.95,1032688,1735076648.6,1973.85,1077.9,52667,INE797F01012,2020-03-06,1680.16,-0.011048862069366727
1008,JUBLFOOD,EQ,N,1679.5,1600.0,1640.0,1650.6,1652.4,1692.15,1199791,1960131867.5,1973.85,1077.9,61760,INE797F01012,2020-03-09,1633.73,-0.02486105156045504
1009,JUBLFOOD,EQ,N,1693.75,1626.05,1650.6,1643.3,1634.95,1650.6,1774568,2933998923.8,1973.85,1077.9,51609,INE797F01012,2020-03-11,1653.36,-0.004432442971340045
1010,JUBLFOOD,EQ,N,1576.95,1461.2,1540.0,1474.1,1479.95,1643.3,2563800,3843133508.25,1973.85,1077.9,95415,INE797F01012,2020-03-12,1499.0,-0.10865878113401184
1011,JUBLFOOD,EQ,N,1611.95,1270.0,1326.7,1522.0,1486.15,1474.1,1514071,2232213457.2,1973.85,1077.9,84664,INE797F01012,2020-03-13,1474.31,0.03197762536839921
1012,JUBLFOOD,EQ,N,1469.95,1367.15,1395.0,1406.15,1426.0,1522.0,2058041,2907781799.65,1973.85,1077.9,134467,INE797F01012,2020-03-16,1412.89,-0.07916978610852698
1013,JUBLFOOD,EQ,N,1440.1,1312.3,1440.0,1328.7,1328.0,1406.15,1889568,2581203918.1,1973.85,1077.9,93205,INE797F01012,2020-03-17,1366.03,-0.056654452715842574
1014,JUBLFOOD,EQ,N,1319.85,1200.0,1310.0,1249.3,1259.0,1328.7,2702745,3366227168.2,1973.85,1077.9,154225,INE797F01012,2020-03-18,1245.48,-0.06161762615947808
1015,JUBLFOOD,EQ,N,1268.5,1138.25,1148.0,1227.7,1229.95,1249.3,1288214,1563925133.0,1973.85,1077.9,60412,INE797F01012,2020-03-19,1214.03,-0.01744089425098938
1016,JUBLFOOD,EQ,N,1655.0,1180.1,1222.0,1471.15,1493.05,1227.7,2945351,3984617675.45,1973.85,1077.9,117086,INE797F01012,2020-03-20,1352.85,0.18090190766390268
1017,JUBLFOOD,EQ,N,1350.0,1250.5,1324.05,1284.55,1268.0,1471.15,735609,946952016.1,1973.85,1077.9,51601,INE797F01012,2020-03-23,1287.3,-0.13563594540633783
1018,JUBLFOOD,EQ,N,1398.0,1160.25,1279.0,1299.0,1283.0,1284.55,2724804,3511481712.5,1973.85,1077.9,164247,INE797F01012,2020-03-24,1288.71,0.011186275226240383
1019,JUBLFOOD,EQ,N,1367.0,1180.0,1180.0,1347.1,1330.0,1299.0,2931577,3786405791.55,1973.85,1077.9,100537,INE797F01012,2020-03-25,1291.59,0.03635939603392213
1020,JUBLFOOD,EQ,N,1421.8,1310.0,1310.0,1343.0,1318.0,1347.1,2049154,2799234249.95,1973.85,1077.9,113102,INE797F01012,2020-03-26,1366.04,-0.003048216181284147
1021,JUBLFOOD,EQ,N,1459.75,1293.0,1350.0,1414.15,1422.0,1343.0,1359323,1868480567.9,1973.85,1077.9,89394,INE797F01012,2020-03-27,1374.57,0.05162272634375409
1022,JUBLFOOD,EQ,N,1480.0,1349.85,1350.0,1397.25,1379.8,1414.15,1503167,2124355449.4,1973.85,1077.9,103564,INE797F01012,2020-03-30,1413.25,-0.012022624717184627
1023,JUBLFOOD,EQ,N,1498.9,1359.8,1411.3,1471.45,1475.0,1397.25,1120887,1587713200.3,1973.85,1077.9,60796,INE797F01012,2020-03-31,1416.48,0.051742290013361725
1024,JUBLFOOD,EQ,N,1486.75,1366.0,1450.0,1383.1,1378.1,1471.45,1130152,1600902140.25,1973.85,1077.9,74601,INE797F01012,2020-04-01,1416.54,-0.061920952532506846
1025,JUBLFOOD,EQ,N,1394.85,1265.0,1385.0,1297.8,1300.05,1383.1,1350655,1760500033.95,1973.85,1077.9,85154,INE797F01012,2020-04-03,1303.44,-0.06365683344359407
1026,JUBLFOOD,EQ,N,1427.55,1311.0,1350.0,1410.25,1392.0,1297.8,1182282,1621279417.75,1973.85,1077.9,69994,INE797F01012,2020-04-07,1371.31,0.08309647043301727
1027,JUBLFOOD,EQ,N,1456.0,1367.0,1391.95,1406.8,1404.85,1410.25,987237,1396803021.3,1973.85,1077.9,50595,INE797F01012,2020-04-08,1414.86,-0.002449372020257634
1028,JUBLFOOD,EQ,N,1449.9,1400.0,1418.0,1422.6,1421.2,1406.8,581724,830339461.65,1973.85,1077.9,46083,INE797F01012,2020-04-09,1427.38,0.01116856169958691
968,JUBLFOOD,EQ,N,1417.0,1315.05,1410.0,1381.4,1383.65,1422.6,1210397,1641068672.25,1973.85,1077.9,102878,INE797F01012,2020-04-13,1355.81,-0.02938870564454188
969,JUBLFOOD,EQ,N,1474.95,1351.05,1390.0,1421.45,1421.45,1381.4,1938008,2741544172.3,1973.85,1077.9,148912,INE797F01012,2020-04-15,1414.62,0.028579999705704573
970,JUBLFOOD,EQ,N,1526.5,1386.45,1400.0,1499.25,1519.5,1421.45,2215243,3198090504.25,1973.85,1077.9,107177,INE797F01012,2020-04-16,1443.67,0.05328750568804175
971,JUBLFOOD,EQ,N,1609.2,1518.35,1550.0,1547.95,1545.9,1499.25,1899614,2948552123.4,1973.85,1077.9,120224,INE797F01012,2020-04-17,1552.18,0.03196649183780398
972,JUBLFOOD,EQ,N,1584.0,1508.6,1530.0,1518.95,1520.7,1547.95,1624034,2503785892.5,1973.85,1077.9,120932,INE797F01012,2020-04-20,1541.71,-0.018912168224769488
973,JUBLFOOD,EQ,N,1529.0,1468.0,1489.9,1505.05,1504.0,1518.95,1147783,1722747401.95,1973.85,1077.9,60290,INE797F01012,2020-04-21,1500.93,-0.009193186439173218
974,JUBLFOOD,EQ,N,1535.0,1485.2,1500.0,1511.7,1515.0,1505.05,933168,1411073359.15,1973.85,1077.9,44767,INE797F01012,2020-04-22,1512.13,0.004408725132181601
975,JUBLFOOD,EQ,N,1598.5,1485.75,1511.7,1496.95,1490.0,1511.7,1715596,2645131108.95,1973.85,1077.9,106490,INE797F01012,2020-04-23,1541.81,-0.009805140626430564
976,JUBLFOOD,EQ,N,1494.7,1444.45,1484.0,1478.7,1489.75,1496.95,1370485,2019019038.45,1973.85,1077.9,93509,INE797F01012,2020-04-24,1473.21,-0.012266381348789324
977,JUBLFOOD,EQ,N,1518.8,1466.55,1480.0,1484.8,1483.55,1478.7,1694622,2517147584.45,1973.85,1077.9,103820,INE797F01012,2020-04-27,1485.37,0.004116759652494473
978,JUBLFOOD,EQ,N,1548.0,1488.0,1488.0,1521.55,1532.0,1484.8,1319156,2006910252.3,1973.85,1077.9,67384,INE797F01012,2020-04-28,1521.36,0.024449469072069796
979,JUBLFOOD,EQ,N,1569.75,1526.0,1526.0,1553.55,1551.3,1521.55,990463,1536051412.05,1973.85,1077.9,42546,INE797F01012,2020-04-29,1550.84,0.020813082598991173
980,JUBLFOOD,EQ,N,1647.0,1576.0,1576.0,1608.5,1617.05,1553.55,1705977,2752738523.05,1973.85,1077.9,74289,INE797F01012,2020-04-30,1613.58,0.03475943297608364
981,JUBLFOOD,EQ,N,1575.25,1520.1,1550.0,1547.9,1549.5,1608.5,797158,1232916996.8,1973.85,1077.9,55107,INE797F01012,2020-05-04,1546.64,-0.03840289409924935
982,JUBLFOOD,EQ,N,1581.7,1498.15,1555.05,1515.0,1507.7,1547.9,942395,1461340364.2,1973.85,1077.9,72160,INE797F01012,2020-05-05,1550.67,-0.02148373463636233
983,JUBLFOOD,EQ,N,1564.0,1494.5,1507.0,1557.05,1555.0,1515.0,1383062,2135319263.0,1973.85,1077.9,73640,INE797F01012,2020-05-06,1543.91,0.02737756641280953
984,JUBLFOOD,EQ,N,1576.25,1525.0,1542.3,1544.55,1545.5,1557.05,732085,1135271911.6,1973.85,1077.9,35084,INE797F01012,2020-05-07,1550.74,-0.008060399585409606
985,JUBLFOOD,EQ,N,1608.0,1547.0,1560.0,1566.75,1555.0,1544.55,1128208,1788592756.2,1973.85,1077.9,44645,INE797F01012,2020-05-08,1585.34,0.014270804333915699
986,JUBLFOOD,EQ,N,1606.45,1565.0,1577.0,1569.45,1574.8,1566.75,827588,1309752860.5,1973.85,1077.9,44398,INE797F01012,2020-05-11,1582.61,0.0017218293903811244
987,JUBLFOOD,EQ,N,1606.7,1541.0,1575.0,1593.4,1596.9,1569.45,867101,1360046882.6,1973.85,1077.9,62760,INE797F01012,2020-05-12,1568.5,0.015144858451099807
988,JUBLFOOD,EQ,N,1734.55,1621.0,1662.95,1699.05,1708.9,1593.4,1896652,3152003203.15,1973.85,1077.9,149918,INE797F01012,2020-05-13,1661.88,0.06419917336856606
989,JUBLFOOD,EQ,N,1714.9,1652.4,1661.0,1689.65,1675.0,1699.05,1398763,2362923133.15,1973.85,1077.9,91318,INE797F01012,2020-05-14,1689.29,-0.00554786443771782
990,JUBLFOOD,EQ,N,1694.0,1642.6,1689.0,1666.3,1648.0,1689.65,1017696,1694551324.3,1973.85,1077.9,57370,INE797F01012,2020-05-15,1665.09,-0.013915807332536723
991,JUBLFOOD,EQ,N,1687.9,1530.0,1663.0,1549.9,1547.0,1666.3,1897047,3024095812.05,1973.85,1077.9,117022,INE797F01012,2020-05-18,1594.11,-0.07241518684157189
