Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
881,MAXHEALTH,EQ,N,120.9,105.3,107.0,115.25,117.2,111.75,1514512,174902559.75,120.9,105.3,13767,INE027H01010,2020-09-04,115.48,
882,MAXHEALTH,EQ,N,118.7,112.65,115.65,113.35,113.85,115.25,740174,84665946.15,120.9,105.3,8400,INE027H01010,2020-09-07,114.39,-0.01662330492322006
883,MAXHEALTH,EQ,N,116.25,107.45,114.6,110.0,110.0,113.35,845613,94049980.9,120.9,105.3,4059,INE027H01010,2020-09-08,111.22,-0.030000011161121165
884,MAXHEALTH,EQ,N,114.95,105.6,106.0,111.45,111.2,110.0,798343,88310531.1,120.9,105.3,5473,INE027H01010,2020-09-09,110.62,0.013095694039461314
885,MAXHEALTH,EQ,N,115.95,111.0,113.25,111.7,112.0,111.45,731283,82473379.85,120.9,105.3,8381,INE027H01010,2020-09-10,112.78,0.0022406462432771335
886,MAXHEALTH,EQ,N,133.95,120.3,120.45,131.55,130.4,111.7,11028197,1420516145.15,133.95,105.3,68438,INE027H01010,2020-09-11,128.81,0.1635703014111467
887,MAXHEALTH,EQ,N,129.35,120.15,127.0,120.9,120.7,131.55,3503925,434080178.5,133.95,105.3,42126,INE027H01010,2020-09-14,123.88,-0.08442324986555505
888,MAXHEALTH,EQ,N,125.4,117.3,122.0,118.75,118.95,120.9,1262738,152759998.9,133.95,105.3,15161,INE027H01010,2020-09-15,120.98,-0.017943314705996194
889,MAXHEALTH,EQ,N,122.0,116.9,119.9,120.7,121.4,118.75,749709,89512463.95,133.95,105.3,7298,INE027H01010,2020-09-16,119.4,0.016287685188735246
890,MAXHEALTH,EQ,N,121.35,116.1,120.0,117.7,117.45,120.7,617657,73127908.05,133.95,105.3,5998,INE027H01010,2020-09-17,118.4,-0.025169113837254287
