Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,MCDOWELL-N,EQ,N,702.75,647.45,696.9,657.45,660.2,686.35,2311007,1572539809.3,742.7,511.25,53543,INE854D01024,2020-03-02,680.46,
996,MCDOWELL-N,EQ,N,687.0,663.05,666.95,667.45,670.05,657.45,2133475,1436032701.15,742.7,511.25,70857,INE854D01024,2020-03-03,673.1,0.015095765568813313
1000,MCDOWELL-N,EQ,N,677.0,646.6,673.8,664.7,663.3,667.45,1628869,1080578312.0,742.7,511.25,36322,INE854D01024,2020-03-04,663.39,-0.004128670054205585
1005,MCDOWELL-N,EQ,N,677.1,657.0,667.9,662.15,659.15,664.7,1377480,919341159.0,742.7,511.25,32373,INE854D01024,2020-03-05,667.41,-0.003843694674563025
1006,MCDOWELL-N,EQ,N,651.15,629.95,643.0,645.1,645.15,662.15,1588183,1022957325.05,742.7,511.25,51465,INE854D01024,2020-03-06,644.11,-0.026086772834776895
1007,MCDOWELL-N,EQ,N,640.35,612.5,638.0,619.85,619.65,645.1,1337135,835678944.3,742.7,511.25,26598,INE854D01024,2020-03-09,624.98,-0.03992783025404023
1008,MCDOWELL-N,EQ,N,631.8,605.3,623.0,608.2,610.95,619.85,1471198,906490815.3,742.7,511.25,41979,INE854D01024,2020-03-11,616.16,-0.01897373804089142
1009,MCDOWELL-N,EQ,N,601.0,532.25,600.0,543.35,547.65,608.2,2858789,1585485161.15,742.7,511.25,57759,INE854D01024,2020-03-12,554.6,-0.11275009573440364
1010,MCDOWELL-N,EQ,N,584.55,506.0,506.0,564.9,569.7,543.35,3091151,1726551617.85,742.7,506.0,52654,INE854D01024,2020-03-13,558.55,0.03889504482235573
1011,MCDOWELL-N,EQ,N,561.0,521.8,539.9,524.75,523.0,564.9,2210731,1199364028.4,742.7,506.0,63654,INE854D01024,2020-03-16,542.52,-0.07372676563047431
1012,MCDOWELL-N,EQ,N,541.3,518.6,527.15,525.2,522.3,524.75,2243559,1191400260.6,742.7,506.0,73501,INE854D01024,2020-03-17,531.03,0.0008571837278985583
1013,MCDOWELL-N,EQ,N,530.35,494.6,525.0,505.1,506.0,525.2,2109389,1076513230.6,742.7,494.6,67253,INE854D01024,2020-03-18,510.34,-0.03902271295463411
1014,MCDOWELL-N,EQ,N,520.55,476.45,490.5,499.45,496.0,505.1,1726998,866704485.95,742.7,476.45,60661,INE854D01024,2020-03-19,501.86,-0.011248936495848127
1015,MCDOWELL-N,EQ,N,529.95,499.1,500.0,517.15,519.0,499.45,1771536,910159437.65,742.7,476.45,74667,INE854D01024,2020-03-20,513.77,0.034825474845654014
1016,MCDOWELL-N,EQ,N,489.7,445.8,485.0,448.1,449.85,517.15,1548756,706058934.95,742.7,445.8,29657,INE854D01024,2020-03-23,455.89,-0.1433165460317154
1017,MCDOWELL-N,EQ,N,479.9,443.65,443.65,451.7,452.7,448.1,2198012,1022166010.7,742.7,443.65,56023,INE854D01024,2020-03-24,465.04,0.008001820868461351
1018,MCDOWELL-N,EQ,N,518.95,442.65,450.85,465.55,467.3,451.7,5317306,2519463906.2,742.7,442.65,91917,INE854D01024,2020-03-25,473.82,0.03020125967398002
1019,MCDOWELL-N,EQ,N,501.0,463.55,476.0,490.65,484.2,465.55,2963377,1452955500.45,742.7,442.65,101617,INE854D01024,2020-03-26,490.3,0.05251154031796368
1020,MCDOWELL-N,EQ,N,506.0,467.0,504.0,470.4,470.85,490.65,1360538,660936792.05,742.7,442.65,52124,INE854D01024,2020-03-27,485.79,-0.04214764606808519
1021,MCDOWELL-N,EQ,N,494.8,459.95,465.0,467.3,465.0,470.4,2142061,1023466986.65,742.7,442.65,57690,INE854D01024,2020-03-30,477.8,-0.00661194687803679
1022,MCDOWELL-N,EQ,N,493.45,471.0,478.0,484.6,484.6,467.3,1847553,887890963.85,742.7,442.65,50134,INE854D01024,2020-03-31,480.58,0.03635235867604525
1023,MCDOWELL-N,EQ,N,503.8,458.4,489.0,462.85,466.0,484.6,2390621,1141548012.0,742.7,442.65,66750,INE854D01024,2020-04-01,477.51,-0.04592078086920548
1024,MCDOWELL-N,EQ,N,490.0,463.2,465.0,465.8,471.0,462.85,2828163,1348260542.05,742.7,442.65,77073,INE854D01024,2020-04-03,476.73,0.006353329937020646
1025,MCDOWELL-N,EQ,N,534.0,477.55,483.8,510.5,504.9,465.8,3596860,1792785747.25,742.7,442.65,84837,INE854D01024,2020-04-07,498.43,0.09163428015447916
1026,MCDOWELL-N,EQ,N,539.8,505.0,515.0,521.6,518.35,510.5,3029867,1597442899.5,742.7,442.65,89352,INE854D01024,2020-04-08,527.23,0.021510373007723516
1027,MCDOWELL-N,EQ,N,564.0,524.95,524.95,550.9,551.8,521.6,5291492,2912143716.7,742.7,442.65,147942,INE854D01024,2020-04-09,550.34,0.054652293866227275
968,MCDOWELL-N,EQ,N,575.3,548.65,555.3,571.5,570.75,550.9,3063806,1726606439.35,742.7,442.65,73341,INE854D01024,2020-04-13,563.55,0.03671117875619423
969,MCDOWELL-N,EQ,N,580.5,546.45,571.5,562.25,564.55,571.5,4778240,2679553749.1,742.7,442.65,114028,INE854D01024,2020-04-15,560.78,-0.016317892395440126
970,MCDOWELL-N,EQ,N,569.7,540.0,551.55,543.9,543.55,562.25,4217576,2339324292.1,742.7,442.65,95927,INE854D01024,2020-04-16,554.66,-0.03318118441050988
971,MCDOWELL-N,EQ,N,557.0,520.55,555.05,530.05,530.35,543.9,6951584,3689290103.05,742.7,442.65,132234,INE854D01024,2020-04-17,530.71,-0.025794064709808495
972,MCDOWELL-N,EQ,N,538.8,525.3,532.15,527.2,527.0,530.05,1885605,1001923820.25,742.7,442.65,46059,INE854D01024,2020-04-20,531.35,-0.005391358530808965
973,MCDOWELL-N,EQ,N,532.0,509.85,521.95,523.8,522.6,527.2,3008708,1570010117.25,742.7,442.65,71637,INE854D01024,2020-04-21,521.82,-0.006470051114686015
974,MCDOWELL-N,EQ,N,544.0,514.3,525.0,540.75,542.55,523.8,2579548,1368830728.55,742.7,442.65,69327,INE854D01024,2020-04-22,530.65,0.031847132759557084
975,MCDOWELL-N,EQ,N,549.15,527.0,544.0,529.55,527.4,540.75,2460930,1325788718.5,742.7,442.65,66053,INE854D01024,2020-04-23,538.73,-0.02092947554349056
976,MCDOWELL-N,EQ,N,527.9,516.7,524.9,519.5,518.35,529.55,1442370,753950071.3,742.7,442.65,38660,INE854D01024,2020-04-24,522.72,-0.019160778750396013
977,MCDOWELL-N,EQ,N,530.5,519.0,520.75,522.05,522.0,519.5,1214830,636520694.8,742.7,442.65,35536,INE854D01024,2020-04-27,523.96,0.004896558196837653
978,MCDOWELL-N,EQ,N,528.95,516.5,525.25,522.9,523.05,522.05,2151641,1126264493.45,742.7,442.65,52947,INE854D01024,2020-04-28,523.44,0.0016268724579653338
979,MCDOWELL-N,EQ,N,539.6,522.6,528.0,532.3,532.3,522.9,2258793,1203461285.7,742.7,442.65,47365,INE854D01024,2020-04-29,532.79,0.01781699898462641
980,MCDOWELL-N,EQ,N,545.5,527.1,536.15,536.65,535.9,532.3,3049732,1636426688.65,742.7,442.65,65660,INE854D01024,2020-04-30,536.58,0.008138872748822301
981,MCDOWELL-N,EQ,N,558.0,527.85,550.0,541.85,543.0,536.65,12143401,6605926873.15,742.7,442.65,250365,INE854D01024,2020-05-04,543.99,0.009643097441470516
982,MCDOWELL-N,EQ,N,544.0,488.0,543.0,494.9,493.7,541.85,12418432,6423666428.8,742.7,442.65,261914,INE854D01024,2020-05-05,517.27,-0.09063348841116348
983,MCDOWELL-N,EQ,N,498.35,478.5,495.0,493.85,497.0,494.9,8307364,4053184573.85,742.7,442.65,198506,INE854D01024,2020-05-06,487.9,-0.0021238946037041018
984,MCDOWELL-N,EQ,N,516.65,494.2,503.9,504.75,504.0,493.85,7738493,3913685324.7,742.7,442.65,159225,INE854D01024,2020-05-07,505.74,0.02183142983881048
985,MCDOWELL-N,EQ,N,514.7,499.2,514.7,501.35,501.35,504.75,4537666,2292071645.1,742.7,442.65,81803,INE854D01024,2020-05-08,505.12,-0.006758797223012536
986,MCDOWELL-N,EQ,N,509.65,491.65,505.5,493.2,493.6,501.35,3776776,1891013717.2,742.7,442.65,65808,INE854D01024,2020-05-11,500.7,-0.01638968867974544
987,MCDOWELL-N,EQ,N,508.4,487.7,490.0,505.5,505.25,493.2,3129346,1558259754.95,742.7,442.65,64236,INE854D01024,2020-05-12,497.95,0.024633267170337092
988,MCDOWELL-N,EQ,N,532.2,505.05,510.0,510.2,512.15,505.5,5925905,3068646080.45,742.7,442.65,99818,INE854D01024,2020-05-13,517.84,0.009254767247185214
989,MCDOWELL-N,EQ,N,561.0,500.0,505.0,539.8,541.5,510.2,15134744,8153847439.9,742.7,442.65,215759,INE854D01024,2020-05-14,538.75,0.0563958948761929
990,MCDOWELL-N,EQ,N,558.6,536.25,540.0,540.85,537.45,539.8,8457291,4633698508.8,742.7,442.65,137350,INE854D01024,2020-05-15,547.89,0.0019432754923940365
991,MCDOWELL-N,EQ,N,569.65,530.05,542.1,542.6,542.3,540.85,12096007,6683904002.8,742.7,442.65,228003,INE854D01024,2020-05-18,552.57,0.003230424148533473
992,MCDOWELL-N,EQ,N,560.0,543.0,552.95,555.1,557.8,542.6,4665270,2576996587.5,742.7,442.65,81529,INE854D01024,2020-05-19,552.38,0.02277587747128429
993,MCDOWELL-N,EQ,N,579.0,558.0,561.45,575.15,574.25,555.1,6641812,3787119465.75,742.7,442.65,105262,INE854D01024,2020-05-20,570.19,0.03548259864590353
941,MCDOWELL-N,EQ,N,615.75,571.35,575.15,609.95,606.95,575.15,9001644,5367820210.7,742.7,442.65,135366,INE854D01024,2020-05-21,596.32,0.058746110252727135
942,MCDOWELL-N,EQ,N,613.55,584.15,611.0,589.25,588.4,609.95,5628309,3354102897.35,742.7,442.65,85710,INE854D01024,2020-05-22,595.93,-0.03452644477850608
943,MCDOWELL-N,EQ,N,598.0,578.75,591.5,583.0,581.0,589.25,3646795,2133442862.55,742.7,442.65,70788,INE854D01024,2020-05-26,585.02,-0.01066335546574848
944,MCDOWELL-N,EQ,N,587.65,571.15,587.65,578.2,577.7,583.0,2987326,1731471150.2,742.7,442.65,55342,INE854D01024,2020-05-27,579.61,-0.008267356768246081
945,MCDOWELL-N,EQ,N,581.1,557.0,567.1,563.6,564.65,578.2,5927607,3348846364.95,742.7,442.65,107341,INE854D01024,2020-05-28,564.96,-0.025575049557720497
946,MCDOWELL-N,EQ,N,601.6,563.0,567.0,594.1,589.35,563.6,9119124,5329975232.6,742.7,442.65,135751,INE854D01024,2020-05-29,584.48,0.052702875337169885
947,MCDOWELL-N,EQ,N,607.0,584.1,602.0,589.3,590.6,594.1,4617664,2742339286.35,742.7,442.65,72519,INE854D01024,2020-06-01,593.88,-0.008112263517827678
948,MCDOWELL-N,EQ,N,591.85,572.0,590.6,573.45,574.0,589.3,3982122,2299176181.15,742.7,442.65,86015,INE854D01024,2020-06-02,577.37,-0.027264643033336533
949,MCDOWELL-N,EQ,N,587.7,569.95,578.9,572.45,574.05,573.45,4512699,2613849664.4,742.7,442.65,81944,INE854D01024,2020-06-03,579.22,-0.00174535344071014
950,MCDOWELL-N,EQ,N,583.9,572.85,574.0,578.35,579.7,572.45,2651408,1534201106.75,742.7,442.65,47308,INE854D01024,2020-06-04,578.64,0.010253826371589447
951,MCDOWELL-N,EQ,N,595.0,577.05,583.0,586.05,587.0,578.35,4592469,2694556857.25,742.7,442.65,72049,INE854D01024,2020-06-05,586.73,0.01322588842777872
952,MCDOWELL-N,EQ,N,611.0,581.8,597.75,596.8,598.1,586.05,8090089,4837295443.5,742.7,442.65,131622,INE854D01024,2020-06-08,597.93,0.018176938720361413
953,MCDOWELL-N,EQ,N,618.35,592.0,600.0,608.2,609.0,596.8,6243842,3795468680.2,742.7,442.65,100538,INE854D01024,2020-06-09,607.87,0.018921726353713808
954,MCDOWELL-N,EQ,N,614.05,596.15,612.0,608.4,609.65,608.2,3851474,2334125415.3,742.7,442.65,65810,INE854D01024,2020-06-10,606.03,0.00032878514187295593
955,MCDOWELL-N,EQ,N,622.4,592.3,612.9,594.3,593.8,608.4,5237815,3194519409.25,742.7,442.65,81699,INE854D01024,2020-06-11,609.9,-0.02344831801252223
956,MCDOWELL-N,EQ,N,621.5,570.0,570.0,617.45,617.65,594.3,7105643,4308100444.2,742.7,442.65,110075,INE854D01024,2020-06-12,606.29,0.03821385119121601
957,MCDOWELL-N,EQ,N,629.8,606.55,621.9,612.7,612.0,617.45,5637186,3476839940.1,742.7,442.65,89178,INE854D01024,2020-06-15,616.77,-0.007722673832222249
958,MCDOWELL-N,EQ,N,624.0,586.75,624.0,604.8,603.75,612.7,3943225,2398214296.0,742.7,442.65,67971,INE854D01024,2020-06-16,608.19,-0.012977594866286246
959,MCDOWELL-N,EQ,N,612.7,598.25,607.5,605.55,604.0,604.8,2131551,1292438507.4,742.7,442.65,37398,INE854D01024,2020-06-17,606.34,0.0012393111017363623
960,MCDOWELL-N,EQ,N,615.0,601.05,601.4,610.0,612.0,605.55,1954213,1186493259.4,742.7,442.65,39018,INE854D01024,2020-06-18,607.15,0.0073218212002981176
961,MCDOWELL-N,EQ,N,631.4,610.0,613.0,618.05,616.7,610.0,4700037,2916011601.45,742.7,442.65,67941,INE854D01024,2020-06-19,620.42,0.013110403166474605
962,MCDOWELL-N,EQ,N,639.4,612.85,621.0,635.1,639.0,618.05,3202098,2012724861.15,742.7,442.65,50274,INE854D01024,2020-06-22,628.56,0.02721310647509778
963,MCDOWELL-N,EQ,N,642.35,619.5,639.0,622.45,623.65,635.1,3497945,2192847489.2,742.7,442.65,75194,INE854D01024,2020-06-23,626.9,-0.020119162981134586
964,MCDOWELL-N,EQ,N,630.5,604.7,625.8,608.0,608.7,622.45,3650280,2249396875.5,742.7,442.65,63005,INE854D01024,2020-06-24,616.23,-0.023488421861627806
965,MCDOWELL-N,EQ,N,612.95,597.0,601.0,601.1,602.5,608.0,3292275,1989023749.05,742.7,442.65,71128,INE854D01024,2020-06-25,604.15,-0.01141357192105108
966,MCDOWELL-N,EQ,N,610.85,589.0,608.5,591.45,593.0,601.1,2952755,1768369507.1,742.7,442.65,75851,INE854D01024,2020-06-26,598.89,-0.016184161053370616
967,MCDOWELL-N,EQ,N,594.85,581.05,589.0,584.05,583.2,591.45,1978730,1159218912.05,742.7,442.65,42117,INE854D01024,2020-06-29,585.84,-0.012590553390040782
911,MCDOWELL-N,EQ,N,606.9,583.05,591.5,592.3,591.0,584.05,4671574,2782998834.0,742.7,442.65,73868,INE854D01024,2020-06-30,595.73,0.014026667681214633
912,MCDOWELL-N,EQ,N,602.0,590.05,594.0,599.2,599.8,592.3,2744966,1637276485.25,742.7,442.65,41413,INE854D01024,2020-07-01,596.47,0.011582168920090119
