Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,MUTHOOTFIN,EQ,N,901.8,850.4,882.1,860.1,853.5,880.25,2891530,2520528796.2,954.5,525.0,54679,INE414G01012,2020-03-02,871.69,
996,MUTHOOTFIN,EQ,N,876.9,846.2,859.0,866.0,867.1,860.1,2390316,2055313266.45,954.5,525.0,54808,INE414G01012,2020-03-03,859.85,0.006836247005001184
1000,MUTHOOTFIN,EQ,N,879.0,851.0,870.0,873.3,872.6,866.0,2480690,2151105036.7,954.5,525.0,62688,INE414G01012,2020-03-04,867.14,0.008394230857252438
1007,MUTHOOTFIN,EQ,N,891.25,869.1,879.8,877.95,875.6,873.3,1338135,1175857277.95,954.5,525.0,25695,INE414G01012,2020-03-05,878.73,0.005310504985652109
1008,MUTHOOTFIN,EQ,N,874.8,840.55,850.0,869.65,867.85,877.95,1002524,862572822.4,954.5,525.0,25692,INE414G01012,2020-03-06,860.4,-0.009498812551177238
1009,MUTHOOTFIN,EQ,N,863.75,818.3,862.0,830.3,829.85,869.65,2006855,1669780817.15,954.5,542.75,63368,INE414G01012,2020-03-09,832.04,-0.046303750586177195
1010,MUTHOOTFIN,EQ,N,856.95,825.0,828.8,833.75,833.75,830.3,2067363,1736335920.35,954.5,542.75,69526,INE414G01012,2020-03-11,839.88,0.004146515961847896
1011,MUTHOOTFIN,EQ,N,812.6,750.0,802.25,756.6,758.85,833.75,2809512,2201318157.85,954.5,542.75,76131,INE414G01012,2020-03-12,783.52,-0.09709888503090447
1012,MUTHOOTFIN,EQ,N,817.45,650.05,691.3,804.05,808.0,756.6,2279343,1737463237.05,954.5,542.75,54921,INE414G01012,2020-03-13,762.26,0.06082674410110478
1013,MUTHOOTFIN,EQ,N,775.0,710.0,774.8,714.7,713.0,804.05,2122286,1549324241.25,954.5,542.75,87319,INE414G01012,2020-03-16,730.03,-0.11779858207410054
1014,MUTHOOTFIN,EQ,N,728.85,620.8,728.85,640.15,654.0,714.7,4408828,2978497154.9,954.5,542.75,106317,INE414G01012,2020-03-17,675.58,-0.11016035033374472
1015,MUTHOOTFIN,EQ,N,668.0,590.0,654.0,601.0,601.8,640.15,3319559,2102996662.65,954.5,542.75,87615,INE414G01012,2020-03-18,633.52,-0.06310758935698058
1016,MUTHOOTFIN,EQ,N,600.5,483.95,550.3,583.85,583.9,601.0,4459433,2444024340.5,954.5,483.95,110911,INE414G01012,2020-03-19,548.06,-0.028950834013483195
1017,MUTHOOTFIN,EQ,N,636.0,582.9,583.8,624.05,623.0,583.85,3163630,1926222573.9,954.5,483.95,96038,INE414G01012,2020-03-20,608.86,0.06658639284273793
1018,MUTHOOTFIN,EQ,N,599.95,500.0,548.15,508.3,512.0,624.05,2089687,1116031112.9,954.5,483.95,86377,INE414G01012,2020-03-23,534.07,-0.20515866891160517
1019,MUTHOOTFIN,EQ,N,555.5,476.8,544.15,514.7,521.0,508.3,3311285,1707633736.75,954.5,476.8,129566,INE414G01012,2020-03-24,515.7,0.012512382205851935
1020,MUTHOOTFIN,EQ,N,610.0,499.1,500.0,600.8,596.0,514.7,3625497,2063329329.95,954.5,476.8,93355,INE414G01012,2020-03-25,569.12,0.15467789379121566
1021,MUTHOOTFIN,EQ,N,629.45,581.65,606.0,606.4,606.4,600.8,3344920,2036298596.65,954.5,476.8,91148,INE414G01012,2020-03-26,608.77,0.009277733878237271
1022,MUTHOOTFIN,EQ,N,691.45,609.25,628.7,618.7,621.7,606.4,2521378,1612026651.65,954.5,476.8,70795,INE414G01012,2020-03-27,639.34,0.02008066820878085
1023,MUTHOOTFIN,EQ,N,623.65,582.0,609.4,611.95,611.4,618.7,1903403,1156800966.4,954.5,476.8,49335,INE414G01012,2020-03-30,607.75,-0.010969922708595092
1024,MUTHOOTFIN,EQ,N,630.5,609.1,613.0,613.15,612.05,611.95,1189965,737274819.2,954.5,476.8,37792,INE414G01012,2020-03-31,619.58,0.00195902437968698
1025,MUTHOOTFIN,EQ,N,614.75,594.5,603.35,604.5,608.0,613.15,1558510,942933402.1,954.5,476.8,50088,INE414G01012,2020-04-01,605.02,-0.014207934153187551
1026,MUTHOOTFIN,EQ,N,626.0,593.7,606.0,606.0,607.0,604.5,1336172,814116440.0,954.5,476.8,53133,INE414G01012,2020-04-03,609.29,0.002478316014467019
1027,MUTHOOTFIN,EQ,N,684.0,620.95,620.95,675.85,681.0,606.0,1880919,1235610972.9,954.5,476.8,53159,INE414G01012,2020-04-07,656.92,0.10909117186052253
1028,MUTHOOTFIN,EQ,N,743.4,652.5,662.3,687.15,689.85,675.85,2502475,1771985714.6,954.5,476.8,81129,INE414G01012,2020-04-08,708.09,0.01658145107102449
1029,MUTHOOTFIN,EQ,N,749.95,700.0,700.0,734.95,738.0,687.15,1722592,1257410427.0,954.5,476.8,69837,INE414G01012,2020-04-09,729.95,0.06724986068713523
968,MUTHOOTFIN,EQ,N,751.65,708.45,743.0,746.0,748.15,734.95,2165713,1586102598.0,954.5,476.8,119542,INE414G01012,2020-04-13,732.37,0.014923130515763994
969,MUTHOOTFIN,EQ,N,738.5,676.8,735.0,691.3,690.55,746.0,4472814,3139772583.15,954.5,476.8,162387,INE414G01012,2020-04-15,701.97,-0.07615171725254122
970,MUTHOOTFIN,EQ,N,705.0,658.45,672.0,693.6,697.0,691.3,4330356,2960128807.6,954.5,476.8,96229,INE414G01012,2020-04-16,683.58,0.003321542515112519
971,MUTHOOTFIN,EQ,N,735.65,693.0,715.1,706.8,702.0,693.6,4064072,2915315674.35,954.5,476.8,50385,INE414G01012,2020-04-17,717.34,0.018852314979209694
972,MUTHOOTFIN,EQ,N,759.0,703.8,714.75,735.0,735.9,706.8,5228659,3838647893.65,954.5,476.8,82308,INE414G01012,2020-04-20,734.16,0.039122758767295096
973,MUTHOOTFIN,EQ,N,732.55,703.05,719.95,721.05,721.0,735.0,1702407,1221323579.15,954.5,476.8,35386,INE414G01012,2020-04-21,717.41,-0.019162016204757215
974,MUTHOOTFIN,EQ,N,768.0,717.5,717.5,759.9,767.0,721.05,2896903,2146423626.25,954.5,476.8,55987,INE414G01012,2020-04-22,740.94,0.05247836266766015
975,MUTHOOTFIN,EQ,N,856.85,762.0,768.7,817.3,825.35,759.9,5307374,4339538720.85,954.5,476.8,111674,INE414G01012,2020-04-23,817.64,0.07281937884634448
976,MUTHOOTFIN,EQ,N,834.0,798.05,809.4,813.95,817.0,817.3,3538348,2874548627.75,954.5,476.8,70635,INE414G01012,2020-04-24,812.4,-0.004107285467564559
977,MUTHOOTFIN,EQ,N,847.8,815.55,828.0,820.05,818.0,813.95,2025216,1684389004.3,954.5,476.8,57727,INE414G01012,2020-04-27,831.71,0.007466374954598898
978,MUTHOOTFIN,EQ,N,836.0,807.4,832.0,826.6,828.6,820.05,1638939,1339974152.25,954.5,476.8,42304,INE414G01012,2020-04-28,817.59,0.00795558806851382
979,MUTHOOTFIN,EQ,N,841.7,818.3,832.7,824.2,824.75,826.6,1087042,899905547.15,954.5,476.8,25971,INE414G01012,2020-04-29,827.85,-0.002907683172915121
980,MUTHOOTFIN,EQ,N,875.0,823.25,829.0,862.7,867.2,824.2,3162393,2712898242.6,954.5,476.8,83577,INE414G01012,2020-04-30,857.86,0.045653787177815985
981,MUTHOOTFIN,EQ,N,840.0,772.0,822.0,783.8,781.9,862.7,2362297,1862138327.25,954.5,476.8,63393,INE414G01012,2020-05-04,788.27,-0.09591312031700205
982,MUTHOOTFIN,EQ,N,811.9,778.0,802.45,782.0,780.5,783.8,2086596,1652728548.8,954.5,476.8,67235,INE414G01012,2020-05-05,792.07,-0.0022991452202196783
983,MUTHOOTFIN,EQ,N,828.8,763.4,790.0,813.45,818.15,782.0,2409658,1941663043.55,954.5,476.8,63488,INE414G01012,2020-05-06,805.78,0.039429721409868
984,MUTHOOTFIN,EQ,N,836.5,805.1,810.0,820.65,819.0,813.45,1637424,1354634983.0,954.5,476.8,51876,INE414G01012,2020-05-07,827.3,0.008812247222765635
985,MUTHOOTFIN,EQ,N,848.7,803.5,832.0,809.65,810.0,820.65,1605273,1322547591.55,954.5,476.8,58664,INE414G01012,2020-05-08,823.88,-0.013494653658464806
986,MUTHOOTFIN,EQ,N,842.95,813.0,814.7,825.55,829.5,809.65,1633059,1355646979.05,954.5,476.8,58833,INE414G01012,2020-05-11,830.13,0.019447775358361064
987,MUTHOOTFIN,EQ,N,827.0,798.0,823.0,816.1,819.9,825.55,1377777,1121880577.95,954.5,476.8,41494,INE414G01012,2020-05-12,814.27,-0.011512934402643893
988,MUTHOOTFIN,EQ,N,845.0,808.0,840.5,812.3,812.35,816.1,1317359,1081968065.3,954.5,476.8,35831,INE414G01012,2020-05-13,821.32,-0.004667166418289348
989,MUTHOOTFIN,EQ,N,831.95,802.35,813.0,818.45,820.0,812.3,1180843,969963578.7,954.5,476.8,34872,INE414G01012,2020-05-14,821.42,0.007542577533455663
990,MUTHOOTFIN,EQ,N,831.9,806.05,829.0,819.85,820.9,818.45,1617617,1325537344.85,954.5,476.8,57846,INE414G01012,2020-05-15,819.44,0.001709089105514039
991,MUTHOOTFIN,EQ,N,819.55,768.0,816.0,776.6,780.6,819.85,2798879,2221632358.4,954.5,476.8,70502,INE414G01012,2020-05-18,793.76,-0.05419597939831089
992,MUTHOOTFIN,EQ,N,801.0,765.6,786.1,781.35,784.0,776.6,2411845,1891699579.7,954.5,476.8,56501,INE414G01012,2020-05-19,784.34,0.0060977755617432905
993,MUTHOOTFIN,EQ,N,814.85,777.0,777.0,811.05,813.0,781.35,1298348,1042580892.3,954.5,476.8,29626,INE414G01012,2020-05-20,803.01,0.037306511636813866
941,MUTHOOTFIN,EQ,N,842.0,810.3,819.9,826.25,826.0,811.05,1552287,1286369115.1,954.5,476.8,40062,INE414G01012,2020-05-21,828.69,0.0185676866697726
942,MUTHOOTFIN,EQ,N,831.45,777.85,824.25,805.3,806.0,826.25,1959606,1570230479.8,954.5,476.8,76692,INE414G01012,2020-05-22,801.3,-0.025682512364396892
943,MUTHOOTFIN,EQ,N,823.0,794.4,818.5,803.65,805.0,805.3,992012,799671764.5,954.5,476.8,44350,INE414G01012,2020-05-26,806.11,-0.0020510277863499127
944,MUTHOOTFIN,EQ,N,847.9,786.0,817.0,844.15,847.0,803.65,2408888,1983426158.0,954.5,476.8,50403,INE414G01012,2020-05-27,823.38,0.0491663529080526
945,MUTHOOTFIN,EQ,N,860.8,833.15,850.0,852.7,848.8,844.15,2049900,1740249940.75,954.5,476.8,51559,INE414G01012,2020-05-28,848.94,0.010077581824801563
946,MUTHOOTFIN,EQ,N,879.0,841.05,849.8,862.65,860.0,852.7,1692247,1464727565.75,954.5,476.8,35625,INE414G01012,2020-05-29,865.55,0.011601261079869474
947,MUTHOOTFIN,EQ,N,907.0,865.0,865.05,885.4,885.0,862.65,1974745,1755878998.45,954.5,476.8,47192,INE414G01012,2020-06-01,889.17,0.026030473470167514
948,MUTHOOTFIN,EQ,N,906.0,883.2,889.0,901.1,905.0,885.4,1598582,1432775198.05,954.5,476.8,64913,INE414G01012,2020-06-02,896.28,0.017576718942950542
949,MUTHOOTFIN,EQ,N,939.45,910.05,914.65,922.85,930.0,901.1,1812632,1676543209.6,954.5,476.8,57238,INE414G01012,2020-06-03,924.92,0.02385046851230932
950,MUTHOOTFIN,EQ,N,934.35,901.65,925.0,910.75,913.3,922.85,809298,740983282.75,954.5,476.8,31491,INE414G01012,2020-06-04,915.59,-0.013198271864627742
951,MUTHOOTFIN,EQ,N,927.95,902.55,917.0,915.3,919.0,910.75,875969,801108198.2,954.5,476.8,23748,INE414G01012,2020-06-05,914.54,0.0049834445020611184
952,MUTHOOTFIN,EQ,N,941.35,909.0,925.95,914.6,915.0,915.3,1298751,1203659241.95,954.5,476.8,45274,INE414G01012,2020-06-08,926.78,-0.0007650691667793197
