Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,NHPC,EQ,N,21.5,20.8,21.0,21.1,21.0,20.6,5275905,111927061.9,29.1,20.4,8179,INE848E01016,2020-03-02,21.21,
996,NHPC,EQ,N,23.4,21.1,21.1,22.85,23.0,21.1,11817070,261175870.2,29.1,20.4,19658,INE848E01016,2020-03-03,22.1,0.07967807685819306
1001,NHPC,EQ,N,23.2,21.8,22.9,22.0,22.05,22.85,4034902,90201270.1,29.1,20.4,18693,INE848E01016,2020-03-04,22.36,-0.03790866398189774
1007,NHPC,EQ,N,22.3,21.7,22.25,22.0,22.05,22.0,3322572,72988999.65,29.1,20.4,6084,INE848E01016,2020-03-05,21.97,0.0
1008,NHPC,EQ,N,22.25,21.05,21.1,21.7,21.9,22.0,7880829,172307554.95,29.1,20.4,12690,INE848E01016,2020-03-06,21.86,-0.013730192811902242
1009,NHPC,EQ,N,21.65,19.95,21.5,20.1,20.25,21.7,24589283,498982915.85,29.1,19.95,42246,INE848E01016,2020-03-09,20.29,-0.07659244548138355
1010,NHPC,EQ,N,21.4,20.05,20.05,21.1,21.15,20.1,18637028,388634636.7,29.1,19.95,34969,INE848E01016,2020-03-11,20.85,0.048553225416990475
1011,NHPC,EQ,N,20.9,18.65,20.05,19.8,20.3,21.1,25323937,510673581.65,29.1,18.65,67267,INE848E01016,2020-03-12,20.17,-0.06359110278153102
1012,NHPC,EQ,N,20.95,17.5,19.25,20.55,20.85,19.8,17653637,353300004.15,29.1,17.5,21378,INE848E01016,2020-03-13,20.01,0.03717900324175405
1013,NHPC,EQ,N,20.4,19.05,19.95,19.15,19.1,20.55,22293440,435292744.2,29.1,17.5,23048,INE848E01016,2020-03-16,19.53,-0.07055822531558897
1014,NHPC,EQ,N,19.4,18.0,19.25,18.2,18.0,19.15,11257823,212133053.4,29.1,17.5,20214,INE848E01016,2020-03-17,18.84,-0.05088112154390512
1015,NHPC,EQ,N,21.8,15.1,18.5,19.35,17.85,18.2,42443380,815852393.65,29.1,15.1,30731,INE848E01016,2020-03-18,19.22,0.061270825393041406
