Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,NMDC,EQ,N,95.75,88.55,92.9,89.5,89.2,91.2,7150803,661149518.95,139.7,74.8,28690,INE584A01023,2020-03-02,92.46,
996,NMDC,EQ,N,94.35,89.0,91.0,93.45,93.85,89.5,5764282,528998480.9,139.7,74.8,27485,INE584A01023,2020-03-03,91.77,0.04318790862076227
1003,NMDC,EQ,N,95.15,91.2,93.05,94.3,94.7,93.45,7281459,681215888.55,139.7,74.8,35633,INE584A01023,2020-03-04,93.55,0.009054655737839923
1008,NMDC,EQ,N,97.4,93.3,94.8,94.35,93.6,94.3,10244890,981622166.4,139.7,74.8,48535,INE584A01023,2020-03-05,95.82,0.0005300821751470508
1009,NMDC,EQ,N,94.4,88.55,90.0,93.8,93.7,94.35,6719238,625136599.35,139.7,74.8,33829,INE584A01023,2020-03-06,93.04,-0.0058464158023801005
1010,NMDC,EQ,N,91.15,82.7,88.4,83.5,83.0,93.8,14356801,1233279237.95,139.7,74.8,50940,INE584A01023,2020-03-09,85.9,-0.11631822415536863
1011,NMDC,EQ,N,85.3,79.8,83.5,81.25,81.3,83.5,12244612,1000245204.55,139.7,74.8,59732,INE584A01023,2020-03-11,81.69,-0.027315810646963534
1012,NMDC,EQ,N,78.75,71.1,77.0,72.05,72.6,81.25,13272047,976909208.05,139.7,71.1,68354,INE584A01023,2020-03-12,73.61,-0.12017049876431507
1013,NMDC,EQ,N,77.0,61.55,67.75,75.5,76.1,72.05,14249766,1033988936.3,139.7,61.55,45274,INE584A01023,2020-03-13,72.56,0.04677233380944745
1014,NMDC,EQ,N,78.4,70.55,73.9,73.85,73.8,75.5,12373208,927246048.85,139.7,61.55,33505,INE584A01023,2020-03-16,74.94,-0.022096647277590087
1015,NMDC,EQ,N,78.45,72.9,74.0,73.45,74.05,73.85,8982542,675662092.25,139.7,61.55,28578,INE584A01023,2020-03-17,75.22,-0.005431106357502102
1016,NMDC,EQ,N,84.45,64.0,76.2,75.75,66.95,73.45,30305419,2219034625.45,139.7,61.55,60160,INE584A01023,2020-03-18,73.22,0.030833541769592188
