Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,PHOENIXLTD,EQ,N,864.2,785.25,840.8,808.8,800.0,856.45,132495,111012105.25,979.0,565.1,10258,INE211B01039,2020-03-02,837.86,
996,PHOENIXLTD,EQ,N,863.95,801.15,801.15,834.9,832.0,808.8,84869,70682161.9,979.0,565.1,4635,INE211B01039,2020-03-03,832.84,0.03176028949369325
1004,PHOENIXLTD,EQ,N,875.0,819.5,844.0,864.25,874.0,834.9,142383,119101762.7,979.0,565.1,4436,INE211B01039,2020-03-04,836.49,0.03455012160177873
1009,PHOENIXLTD,EQ,N,887.8,840.6,880.0,851.3,850.0,864.25,47058,40165495.25,979.0,565.1,6081,INE211B01039,2020-03-05,853.53,-0.01509748591172233
1010,PHOENIXLTD,EQ,N,847.95,820.05,839.95,837.3,830.3,851.3,117104,97728137.2,979.0,565.1,9293,INE211B01039,2020-03-06,834.54,-0.01658216367962506
1011,PHOENIXLTD,EQ,N,829.7,785.25,812.0,811.9,813.4,837.3,234154,189563670.3,979.0,565.1,6170,INE211B01039,2020-03-09,809.57,-0.03080524934198614
1012,PHOENIXLTD,EQ,N,834.0,800.15,816.0,821.95,813.5,811.9,243367,197476516.5,979.0,565.1,5894,INE211B01039,2020-03-11,811.44,0.012302386087118755
1013,PHOENIXLTD,EQ,N,806.0,748.05,806.0,764.55,762.0,821.95,105164,80775079.95,979.0,565.1,9163,INE211B01039,2020-03-12,768.09,-0.07239214050135878
1014,PHOENIXLTD,EQ,N,767.95,650.0,692.0,751.35,750.0,764.55,296090,215787825.4,979.0,565.1,21020,INE211B01039,2020-03-13,728.79,-0.017415836982424437
1015,PHOENIXLTD,EQ,N,706.3,651.2,685.25,666.15,680.0,751.35,661050,450839560.45,979.0,565.1,41098,INE211B01039,2020-03-16,682.01,-0.12035671806551473
1016,PHOENIXLTD,EQ,N,675.0,611.15,661.3,647.65,643.1,666.15,449715,290695868.55,979.0,565.1,10859,INE211B01039,2020-03-17,646.4,-0.028164443429956165
1017,PHOENIXLTD,EQ,N,649.0,521.15,647.35,555.3,570.0,647.65,398731,242644466.25,979.0,521.15,11285,INE211B01039,2020-03-18,608.54,-0.15384191872870367
1018,PHOENIXLTD,EQ,N,666.35,483.0,539.75,647.25,620.0,555.3,383451,224494232.4,979.0,483.0,15999,INE211B01039,2020-03-19,585.46,0.15322411038408568
1019,PHOENIXLTD,EQ,N,665.95,607.2,643.0,648.0,637.4,647.25,111159,70691663.65,979.0,483.0,8399,INE211B01039,2020-03-20,635.95,0.0011580777206274817
1020,PHOENIXLTD,EQ,N,652.4,530.0,615.0,584.7,582.25,648.0,71131,41830285.45,979.0,483.0,4569,INE211B01039,2020-03-23,588.07,-0.10279180117064968
1021,PHOENIXLTD,EQ,N,624.0,510.2,624.0,545.25,554.95,584.7,191125,111331500.0,979.0,483.0,23135,INE211B01039,2020-03-24,582.51,-0.06985449009988631
1022,PHOENIXLTD,EQ,N,600.0,521.0,521.0,541.1,538.0,545.25,95701,51700158.35,979.0,483.0,4401,INE211B01039,2020-03-25,540.23,-0.00764030043304853
1023,PHOENIXLTD,EQ,N,619.0,527.15,563.9,568.85,594.0,541.1,228814,128109070.9,979.0,483.0,13679,INE211B01039,2020-03-26,559.88,0.05001267433703571
1024,PHOENIXLTD,EQ,N,640.0,536.4,596.8,569.85,560.0,568.85,76358,43938475.95,979.0,483.0,12266,INE211B01039,2020-03-27,575.43,0.001756389316018847
1025,PHOENIXLTD,EQ,N,596.0,531.2,551.05,538.5,532.0,569.85,233822,128537190.7,979.0,483.0,21125,INE211B01039,2020-03-30,549.72,-0.056585671705301266
1026,PHOENIXLTD,EQ,N,583.0,541.05,541.05,570.3,570.0,538.5,67939,38602706.35,979.0,483.0,14995,INE211B01039,2020-03-31,568.2,0.05737504156604967
1027,PHOENIXLTD,EQ,N,587.65,502.05,575.0,514.5,507.05,570.3,74592,40754984.8,979.0,483.0,7857,INE211B01039,2020-04-01,546.37,-0.10296698288838879
1028,PHOENIXLTD,EQ,N,522.75,485.0,515.0,512.05,510.35,514.5,46634,23470448.3,979.0,483.0,4275,INE211B01039,2020-04-03,503.29,-0.004773278752657539
1029,PHOENIXLTD,EQ,N,537.35,501.5,529.85,506.1,503.8,512.05,718026,376826975.3,979.0,483.0,5332,INE211B01039,2020-04-07,524.81,-0.011687998301414204
1030,PHOENIXLTD,EQ,N,585.7,501.6,503.8,540.0,530.2,506.1,98920,51902820.35,979.0,483.0,8515,INE211B01039,2020-04-08,524.69,0.06483486133828809
1031,PHOENIXLTD,EQ,N,560.0,520.95,540.0,554.75,550.3,540.0,106714,58445614.75,979.0,483.0,7654,INE211B01039,2020-04-09,547.68,0.026948422254382542
968,PHOENIXLTD,EQ,N,555.0,482.35,555.0,488.85,487.65,554.75,806032,396692073.8,979.0,482.35,15871,INE211B01039,2020-04-13,492.15,-0.12646186786102298
969,PHOENIXLTD,EQ,N,539.1,484.0,489.5,533.3,530.95,488.85,1117344,572051426.8,979.0,482.35,14287,INE211B01039,2020-04-15,511.97,0.08702842365487662
970,PHOENIXLTD,EQ,N,532.9,506.5,528.0,517.95,523.9,533.3,210948,109220684.4,979.0,482.35,5772,INE211B01039,2020-04-16,517.76,-0.02920540510244507
971,PHOENIXLTD,EQ,N,541.75,522.1,536.85,532.4,532.0,517.95,88472,47007943.5,979.0,482.35,9382,INE211B01039,2020-04-17,531.33,0.02751637401684537
972,PHOENIXLTD,EQ,N,569.95,525.65,534.85,561.35,565.9,532.4,174039,95321914.95,979.0,482.35,9274,INE211B01039,2020-04-20,547.7,0.052949510383832
973,PHOENIXLTD,EQ,N,564.6,540.0,558.0,551.75,550.0,561.35,213523,118040667.7,979.0,482.35,16202,INE211B01039,2020-04-21,552.82,-0.01724955176794296
974,PHOENIXLTD,EQ,N,562.0,533.0,555.2,543.8,540.0,551.75,31319,16999121.5,979.0,482.35,3724,INE211B01039,2020-04-22,542.77,-0.014513512938475692
975,PHOENIXLTD,EQ,N,554.0,515.6,552.0,537.9,525.75,543.8,53003,28618117.4,979.0,482.35,2542,INE211B01039,2020-04-23,539.93,-0.010908862919173146
976,PHOENIXLTD,EQ,N,578.0,525.65,532.9,550.55,545.0,537.9,175106,97558207.75,979.0,482.35,11274,INE211B01039,2020-04-24,557.14,0.023245109280402687
