Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,POWERGRID,EQ,N,187.2,181.75,183.75,183.5,183.25,181.5,10991263,2032152665.75,216.25,176.95,51460,INE752E01010,2020-03-02,184.89,
996,POWERGRID,EQ,N,194.7,182.05,183.8,191.7,191.2,183.5,9022112,1697050771.45,216.25,176.95,36781,INE752E01010,2020-03-03,188.1,0.04371698255697343
1001,POWERGRID,EQ,N,198.0,188.55,190.7,197.05,196.35,191.7,9528328,1853443683.2,216.25,176.95,77004,INE752E01010,2020-03-04,194.52,0.027525853589414062
1008,POWERGRID,EQ,N,199.55,194.55,196.05,195.95,197.0,197.05,5464838,1077659212.5,216.25,176.95,44139,INE752E01010,2020-03-05,197.2,-0.005597978995372621
1009,POWERGRID,EQ,N,192.6,188.15,190.5,190.6,191.65,195.95,8084242,1544459428.2,216.25,176.95,58682,INE752E01010,2020-03-06,191.05,-0.027682533425538836
1010,POWERGRID,EQ,N,188.6,177.95,184.9,180.95,180.6,190.6,39155287,7112264334.3,216.25,176.95,168813,INE752E01010,2020-03-09,181.64,-0.05195624121035003
1011,POWERGRID,EQ,N,183.9,177.25,179.5,181.4,180.4,180.95,23965094,4336925445.45,216.25,176.95,106763,INE752E01010,2020-03-11,180.97,0.00248378767128532
1012,POWERGRID,EQ,N,177.9,164.75,176.2,166.1,165.6,181.4,32861488,5611749972.4,216.25,164.75,141595,INE752E01010,2020-03-12,170.77,-0.08811452106178752
1013,POWERGRID,EQ,N,172.6,149.5,162.8,167.9,169.0,166.1,25097373,4179803099.6,216.25,149.5,178521,INE752E01010,2020-03-13,166.54,0.010778547464246557
1014,POWERGRID,EQ,N,162.9,155.0,162.4,157.95,158.25,167.9,22313960,3509971372.65,216.25,149.5,80171,INE752E01010,2020-03-16,157.3,-0.061090036835401484
1015,POWERGRID,EQ,N,170.35,155.75,156.55,162.0,161.15,157.95,19946876,3289227973.95,216.25,149.5,98486,INE752E01010,2020-03-17,164.9,0.02531780798428951
1016,POWERGRID,EQ,N,164.9,122.15,164.0,144.15,154.6,162.0,67448864,9872483533.35,216.25,122.15,125525,INE752E01010,2020-03-18,146.37,-0.11674191114797239
1017,POWERGRID,EQ,N,151.9,140.1,145.4,147.15,147.45,144.15,24772387,3665085906.6,216.25,122.15,181433,INE752E01010,2020-03-19,147.95,0.020598050595070916
1018,POWERGRID,EQ,N,161.85,148.25,148.25,157.25,154.7,147.15,73960859,11608293899.75,216.25,122.15,229475,INE752E01010,2020-03-20,156.95,0.066384420901068
1019,POWERGRID,EQ,N,155.85,141.55,141.55,153.0,153.25,157.25,22311917,3363827841.75,216.25,122.15,86833,INE752E01010,2020-03-23,150.76,-0.027398974188114877
1020,POWERGRID,EQ,N,157.2,145.4,152.05,147.3,148.8,153.0,23795660,3611534835.0,216.25,122.15,137499,INE752E01010,2020-03-24,151.77,-0.03796659792385082
1021,POWERGRID,EQ,N,156.95,148.35,148.5,150.25,149.8,147.3,13111701,1991403358.4,216.25,122.15,75865,INE752E01010,2020-03-25,151.88,0.019829249946732297
1022,POWERGRID,EQ,N,161.7,147.25,150.6,158.35,160.3,150.25,14247634,2212159289.3,216.25,122.15,85004,INE752E01010,2020-03-26,155.27,0.05250719956933203
1023,POWERGRID,EQ,N,166.25,156.65,158.6,160.0,160.0,158.35,16247113,2618031755.45,216.25,122.15,131687,INE752E01010,2020-03-27,161.14,0.01036604224917781
1024,POWERGRID,EQ,N,159.9,153.05,155.0,155.65,155.15,160.0,12579943,1956456478.95,216.25,122.15,96217,INE752E01010,2020-03-30,155.52,-0.027563918346209526
1025,POWERGRID,EQ,N,161.8,156.4,158.4,159.1,158.8,155.65,13971678,2217081648.8,216.25,122.15,146428,INE752E01010,2020-03-31,158.68,0.021923038456123756
1026,POWERGRID,EQ,N,161.95,153.15,159.0,154.6,156.0,159.1,7977443,1249781798.75,216.25,122.15,66828,INE752E01010,2020-04-01,156.66,-0.028691799190418976
1027,POWERGRID,EQ,N,160.45,151.75,154.55,156.2,156.45,154.6,11850094,1864375073.35,216.25,122.15,94229,INE752E01010,2020-04-03,157.33,0.010296101252263767
1028,POWERGRID,EQ,N,161.9,156.4,161.0,158.0,157.55,156.2,13917385,2200837497.8,216.25,122.15,77258,INE752E01010,2020-04-07,158.14,0.011457795621381273
1029,POWERGRID,EQ,N,162.7,155.25,157.9,158.35,157.5,158.0,12083217,1920745029.25,216.25,122.15,67470,INE752E01010,2020-04-08,158.96,0.0022127399576818974
1030,POWERGRID,EQ,N,166.7,158.35,160.9,164.45,164.45,158.35,8779407,1423864749.95,216.25,122.15,47107,INE752E01010,2020-04-09,162.18,0.037798799650417436
968,POWERGRID,EQ,N,164.9,157.25,164.0,159.95,160.45,164.45,8381970,1346270988.3,216.25,122.15,63147,INE752E01010,2020-04-13,160.62,-0.02774530623953897
969,POWERGRID,EQ,N,163.9,158.45,161.45,159.55,159.4,159.95,14203445,2289505227.2,216.25,122.15,104254,INE752E01010,2020-04-15,161.19,-0.00250391367127456
970,POWERGRID,EQ,N,166.7,157.5,158.2,163.4,162.5,159.55,17522308,2870061332.45,216.25,122.15,86146,INE752E01010,2020-04-16,163.79,0.023843829701649888
971,POWERGRID,EQ,N,173.25,164.25,167.65,167.75,167.8,163.4,10426696,1766582377.85,216.25,122.15,65663,INE752E01010,2020-04-17,169.43,0.02627359342588864
972,POWERGRID,EQ,N,169.2,162.15,169.2,165.5,165.7,167.75,13599590,2235912053.2,216.25,122.15,121054,INE752E01010,2020-04-20,164.41,-0.01350358103467375
973,POWERGRID,EQ,N,166.0,162.15,164.0,162.65,162.2,165.5,7827691,1280182973.35,216.25,122.15,62008,INE752E01010,2020-04-21,163.55,-0.017370541897756553
974,POWERGRID,EQ,N,162.75,156.6,160.0,162.2,162.15,162.65,11082647,1771753833.05,216.25,122.15,106178,INE752E01010,2020-04-22,159.87,-0.002770511238048279
975,POWERGRID,EQ,N,161.9,157.6,161.5,158.0,158.15,162.2,18072426,2880843535.6,216.25,122.15,80734,INE752E01010,2020-04-23,159.41,-0.02623510865434575
976,POWERGRID,EQ,N,160.1,155.75,157.0,159.15,158.85,158.0,18638042,2958757067.75,216.25,122.15,73949,INE752E01010,2020-04-24,158.75,0.007252120701134679
977,POWERGRID,EQ,N,161.5,157.65,161.5,159.6,159.55,159.15,5491127,874477535.65,216.25,122.15,46399,INE752E01010,2020-04-27,159.25,0.0028235312876070395
978,POWERGRID,EQ,N,160.4,156.8,160.05,157.2,157.6,159.6,14700793,2320753175.2,216.25,122.15,65090,INE752E01010,2020-04-28,157.87,-0.015151805020602538
979,POWERGRID,EQ,N,160.6,156.0,159.5,158.05,157.95,157.2,8161512,1293350110.15,216.25,122.15,75614,INE752E01010,2020-04-29,158.47,0.005392558666520664
980,POWERGRID,EQ,N,163.45,157.2,159.6,162.05,162.9,158.05,10520617,1694939536.3,216.25,122.15,71609,INE752E01010,2020-04-30,161.11,0.024993490925929507
981,POWERGRID,EQ,N,161.5,157.6,160.9,159.05,159.2,162.05,7086594,1125185952.75,216.25,122.15,45488,INE752E01010,2020-05-04,158.78,-0.018686311392403177
982,POWERGRID,EQ,N,165.85,160.2,161.45,163.65,163.65,159.05,10296872,1685254333.1,216.25,122.15,64290,INE752E01010,2020-05-05,163.67,0.02851138275203624
983,POWERGRID,EQ,N,166.65,162.7,162.9,165.4,165.6,163.65,7230250,1195098393.3,216.25,122.15,59075,INE752E01010,2020-05-06,165.29,0.010636781642401338
984,POWERGRID,EQ,N,165.0,161.0,163.65,161.75,161.2,165.4,4815768,780693250.55,216.25,122.15,36293,INE752E01010,2020-05-07,162.11,-0.02231484920858051
985,POWERGRID,EQ,N,162.6,158.1,162.6,159.0,158.65,161.75,17380561,2771960789.65,216.25,122.15,58498,INE752E01010,2020-05-08,159.49,-0.017147731160778612
986,POWERGRID,EQ,N,162.4,158.35,159.3,158.8,158.8,159.0,5317551,851138944.25,216.25,122.15,51990,INE752E01010,2020-05-11,160.06,-0.0012586534071958866
987,POWERGRID,EQ,N,165.0,157.7,158.5,163.3,164.4,158.8,11243145,1803950119.95,216.25,122.15,74240,INE752E01010,2020-05-12,160.45,0.027943451163383592
