Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,SCHAEFFLER,EQ,N,4498.95,4341.0,4351.0,4382.75,4380.0,4365.75,10654,46656264.65,5725.0,3835.5,4721,INE513A01014,2020-03-02,4379.23,
996,SCHAEFFLER,EQ,N,4420.55,4311.0,4311.0,4378.15,4379.0,4382.75,5291,23176024.25,5725.0,3835.5,1516,INE513A01014,2020-03-03,4380.27,-0.0010501205179203055
1000,SCHAEFFLER,EQ,N,4430.0,4310.05,4430.0,4392.4,4400.0,4378.15,11274,49500537.15,5725.0,3835.5,5968,INE513A01014,2020-03-04,4390.68,0.003249514007494625
1006,SCHAEFFLER,EQ,N,4499.5,4352.05,4401.35,4475.25,4475.0,4392.4,3673,16413710.8,5725.0,3835.5,2139,INE513A01014,2020-03-05,4468.75,0.01868644134674291
1007,SCHAEFFLER,EQ,N,4478.0,4325.3,4448.0,4376.4,4370.0,4475.25,3077,13482230.5,5725.0,3835.5,650,INE513A01014,2020-03-06,4381.62,-0.022335747467666422
1008,SCHAEFFLER,EQ,N,4477.75,4220.0,4477.75,4348.4,4301.0,4376.4,4913,21186816.45,5725.0,3835.5,2208,INE513A01014,2020-03-09,4312.4,-0.006418507272789142
1009,SCHAEFFLER,EQ,N,4465.0,4221.1,4465.0,4289.25,4232.3,4348.4,3284,14225797.55,5725.0,3835.5,788,INE513A01014,2020-03-11,4331.85,-0.013696068866309474
1010,SCHAEFFLER,EQ,N,4220.05,3901.35,4140.0,4145.25,4160.0,4289.25,13952,57739003.9,5725.0,3835.5,4976,INE513A01014,2020-03-12,4138.4,-0.03414879208205335
1011,SCHAEFFLER,EQ,N,4324.75,3406.0,3670.0,4297.75,4200.0,4145.25,24362,101595325.35,5725.0,3406.0,5746,INE513A01014,2020-03-13,4170.24,0.036128529540119914
1012,SCHAEFFLER,EQ,N,4325.0,4061.1,4300.0,4144.9,4150.0,4297.75,10578,43970518.5,5600.0,3406.0,3472,INE513A01014,2020-03-16,4156.79,-0.03621296709558308
1013,SCHAEFFLER,EQ,N,4250.0,4001.55,4062.4,4144.9,4150.0,4144.9,5783,24094384.55,5600.0,3406.0,2551,INE513A01014,2020-03-17,4166.42,0.0
1014,SCHAEFFLER,EQ,N,4245.85,3721.0,4154.75,4009.55,4057.95,4144.9,6372,25624751.05,5600.0,3406.0,982,INE513A01014,2020-03-18,4021.46,-0.033199647273850275
1015,SCHAEFFLER,EQ,N,4049.95,3553.05,3937.45,4010.05,4000.0,4009.55,8894,33774350.65,5600.0,3406.0,3049,INE513A01014,2020-03-19,3797.43,0.00012469449864127569
1016,SCHAEFFLER,EQ,N,3980.25,3806.9,3911.45,3917.2,3900.0,4010.05,13475,52673426.2,5600.0,3406.0,5272,INE513A01014,2020-03-20,3908.97,-0.023426597204171173
1017,SCHAEFFLER,EQ,N,3799.95,3311.5,3799.95,3589.45,3600.0,3917.2,6839,24180421.15,5600.0,3311.5,1890,INE513A01014,2020-03-23,3535.67,-0.08737812544376311
1018,SCHAEFFLER,EQ,N,3798.9,3530.25,3605.05,3550.3,3551.0,3589.45,5116,18521415.85,5600.0,3311.5,2034,INE513A01014,2020-03-24,3620.29,-0.010966880461680262
1019,SCHAEFFLER,EQ,N,3850.45,3540.3,3689.95,3780.2,3835.0,3550.3,2314,8592585.4,5600.0,3311.5,776,INE513A01014,2020-03-25,3713.3,0.06274481132565946
1020,SCHAEFFLER,EQ,N,3887.95,3758.75,3887.95,3803.65,3799.0,3780.2,2386,9082224.55,5600.0,3311.5,1238,INE513A01014,2020-03-26,3806.46,0.006184213753194001
1021,SCHAEFFLER,EQ,N,3913.95,3720.05,3824.2,3743.9,3740.0,3803.65,3539,13397043.95,5600.0,3311.5,1763,INE513A01014,2020-03-27,3785.55,-0.015833283180977986
1022,SCHAEFFLER,EQ,N,3758.0,3635.0,3690.0,3675.25,3666.0,3743.9,3106,11434258.3,5600.0,3311.5,633,INE513A01014,2020-03-30,3681.35,-0.018506691294994937
1023,SCHAEFFLER,EQ,N,3802.25,3675.05,3683.65,3716.65,3695.0,3675.25,3347,12447108.65,5600.0,3311.5,2125,INE513A01014,2020-03-31,3718.89,0.011201567361091236
1024,SCHAEFFLER,EQ,N,3775.0,3538.0,3775.0,3568.8,3561.0,3716.65,2933,10603175.65,5600.0,3311.5,1436,INE513A01014,2020-04-01,3615.13,-0.04059332009111216
1025,SCHAEFFLER,EQ,N,3599.0,3410.2,3569.2,3559.45,3565.0,3568.8,4960,17581370.25,5600.0,3311.5,2591,INE513A01014,2020-04-03,3544.63,-0.0026233662854888706
1026,SCHAEFFLER,EQ,N,3615.35,3450.1,3615.0,3524.7,3496.55,3559.45,14197,49886522.25,5600.0,3311.5,1834,INE513A01014,2020-04-07,3513.88,-0.009810712286929757
1027,SCHAEFFLER,EQ,N,3600.0,3370.0,3600.0,3437.8,3430.0,3524.7,3050,10619895.0,5600.0,3311.5,750,INE513A01014,2020-04-08,3481.93,-0.024963594347580553
1028,SCHAEFFLER,EQ,N,3500.0,3380.0,3449.3,3471.55,3448.65,3437.8,13489,46606197.45,5600.0,3311.5,2654,INE513A01014,2020-04-09,3455.13,0.009769448191372376
968,SCHAEFFLER,EQ,N,3509.55,3360.0,3411.0,3430.25,3438.0,3471.55,5556,18991492.5,5600.0,3311.5,2288,INE513A01014,2020-04-13,3418.2,-0.011968035284143141
969,SCHAEFFLER,EQ,N,3559.05,3422.85,3438.05,3466.15,3449.95,3430.25,4581,15981597.45,5600.0,3311.5,1529,INE513A01014,2020-04-15,3488.67,0.010411323091195968
970,SCHAEFFLER,EQ,N,3500.0,3330.0,3450.0,3485.2,3450.0,3466.15,8327,28608101.55,5600.0,3311.5,2930,INE513A01014,2020-04-16,3435.58,0.005480963464650657
971,SCHAEFFLER,EQ,N,3565.45,3468.8,3547.15,3541.8,3525.1,3485.2,15468,54288552.75,5600.0,3311.5,2386,INE513A01014,2020-04-17,3509.73,0.016109641117566298
972,SCHAEFFLER,EQ,N,3600.0,3435.5,3588.0,3448.9,3442.0,3541.8,4871,16968526.95,5600.0,3311.5,2024,INE513A01014,2020-04-20,3483.58,-0.02657973286946813
973,SCHAEFFLER,EQ,N,3458.7,3321.05,3442.0,3398.1,3399.95,3448.9,5258,17752326.3,5600.0,3311.5,1500,INE513A01014,2020-04-21,3376.25,-0.014838887730451944
974,SCHAEFFLER,EQ,N,3517.95,3354.0,3401.05,3491.35,3490.05,3398.1,6842,23701860.75,5600.0,3311.5,2245,INE513A01014,2020-04-22,3464.17,0.027072029010566823
975,SCHAEFFLER,EQ,N,3495.0,3369.0,3494.05,3406.8,3396.95,3491.35,40156,137544248.05,5600.0,3311.5,1839,INE513A01014,2020-04-23,3425.25,-0.024515046618418523
976,SCHAEFFLER,EQ,N,3500.0,3300.0,3428.7,3330.5,3333.0,3406.8,8750,29768709.4,5600.0,3300.0,2214,INE513A01014,2020-04-24,3402.14,-0.022650991413692978
977,SCHAEFFLER,EQ,N,3420.0,3331.0,3420.0,3349.65,3342.5,3330.5,9072,30391688.6,5489.9,3300.0,2220,INE513A01014,2020-04-27,3350.05,0.005733419895772585
978,SCHAEFFLER,EQ,N,3375.7,3290.0,3355.05,3325.15,3320.0,3349.65,16765,55633185.75,5489.9,3290.0,2316,INE513A01014,2020-04-28,3318.41,-0.007341076894647358
979,SCHAEFFLER,EQ,N,3395.0,3280.25,3395.0,3302.45,3289.95,3325.15,13145,43752815.2,5489.9,3280.25,3364,INE513A01014,2020-04-29,3328.48,-0.006850168617910768
980,SCHAEFFLER,EQ,N,3500.0,3332.3,3385.0,3444.3,3449.0,3302.45,7501,25799339.55,5489.9,3280.25,1785,INE513A01014,2020-04-30,3439.45,0.042056073531428595
981,SCHAEFFLER,EQ,N,3445.05,3320.0,3445.0,3371.3,3326.0,3444.3,3036,10211144.6,5329.8,3280.25,627,INE513A01014,2020-05-04,3363.35,-0.0214222641298889
982,SCHAEFFLER,EQ,N,3430.0,3326.0,3430.0,3356.1,3326.0,3371.3,3843,12912496.1,5329.8,3280.25,1354,INE513A01014,2020-05-05,3360.0,-0.004518841116993855
983,SCHAEFFLER,EQ,N,3380.0,3303.35,3380.0,3336.35,3330.05,3356.1,4889,16309525.95,5329.8,3280.25,1162,INE513A01014,2020-05-06,3335.96,-0.005902190478515479
984,SCHAEFFLER,EQ,N,3352.25,3270.0,3341.0,3292.15,3281.0,3336.35,2481,8225967.5,5329.8,3270.0,603,INE513A01014,2020-05-07,3315.59,-0.013336548277495197
985,SCHAEFFLER,EQ,N,3322.3,3280.25,3322.3,3299.45,3296.0,3292.15,5557,18342071.2,5329.8,3270.0,1233,INE513A01014,2020-05-08,3300.71,0.002214941132489656
986,SCHAEFFLER,EQ,N,3359.6,3287.0,3357.0,3311.35,3290.0,3299.45,7733,25581853.7,5329.8,3270.0,2510,INE513A01014,2020-05-11,3308.14,0.00360017330829443
987,SCHAEFFLER,EQ,N,3304.95,3251.45,3300.0,3300.35,3304.0,3311.35,3684,12127145.05,5329.8,3251.45,943,INE513A01014,2020-05-12,3291.84,-0.003327437769163666
988,SCHAEFFLER,EQ,N,3446.0,3287.15,3446.0,3300.9,3300.0,3300.35,4901,16244021.75,5329.8,3251.45,1255,INE513A01014,2020-05-13,3314.43,0.00016663510737302545
989,SCHAEFFLER,EQ,N,3315.0,3262.5,3315.0,3300.55,3303.2,3300.9,7869,25952055.6,5329.8,3251.45,3300,INE513A01014,2020-05-14,3298.01,-0.00010603731008451689
990,SCHAEFFLER,EQ,N,3301.75,3276.0,3301.05,3290.15,3299.4,3300.55,1287,4239634.55,5329.8,3251.45,331,INE513A01014,2020-05-15,3294.2,-0.003155964808623679
991,SCHAEFFLER,EQ,N,3310.05,3190.0,3306.95,3196.35,3200.0,3290.15,25212,81430766.4,5329.8,3190.0,664,INE513A01014,2020-05-18,3229.84,-0.028923622645230296
992,SCHAEFFLER,EQ,N,3233.7,3162.0,3212.35,3171.6,3162.4,3196.35,5376,17154175.35,5329.8,3162.0,1308,INE513A01014,2020-05-19,3190.88,-0.0077733413817941965
993,SCHAEFFLER,EQ,N,3211.55,3163.55,3180.05,3199.2,3185.15,3171.6,3357,10735046.95,5329.8,3162.0,2083,INE513A01014,2020-05-20,3197.81,0.008664586134365493
941,SCHAEFFLER,EQ,N,3200.35,3166.0,3166.0,3179.85,3178.0,3199.2,17351,55198461.5,5329.8,3162.0,529,INE513A01014,2020-05-21,3181.28,-0.006066752682238885
