Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
857,SUZLON,EQ,N,2.95,2.8,2.95,2.85,2.9,2.7,20892304,60668462.65,8.4,1.8,15030,INE040H01021,2020-03-02,2.9,
859,SUZLON,EQ,N,2.9,2.7,2.9,2.75,2.8,2.85,10186884,28263732.2,8.4,1.8,8439,INE040H01021,2020-03-03,2.77,-0.035718082602079315
864,SUZLON,EQ,N,2.8,2.5,2.8,2.55,2.55,2.75,13261173,34803368.05,8.4,1.8,7048,INE040H01021,2020-03-04,2.62,-0.07550755250814511
872,SUZLON,EQ,N,2.55,2.35,2.55,2.5,2.55,2.55,14368672,35704693.9,8.4,1.8,9368,INE040H01021,2020-03-05,2.48,-0.019802627296179653
873,SUZLON,EQ,N,2.45,2.35,2.4,2.4,2.4,2.5,9482371,22591777.15,8.4,1.8,8203,INE040H01021,2020-03-06,2.38,-0.040821994520255256
874,SUZLON,EQ,N,2.35,2.2,2.35,2.2,2.2,2.4,23559069,52320672.3,7.95,1.8,7717,INE040H01021,2020-03-09,2.22,-0.08701137698962957
875,SUZLON,EQ,N,2.3,2.2,2.2,2.3,2.25,2.2,15845617,36039437.6,7.95,1.8,6680,INE040H01021,2020-03-11,2.27,0.04445176257083361
876,SUZLON,EQ,N,2.25,2.2,2.25,2.2,2.2,2.3,6034846,13286715.9,7.95,1.8,3799,INE040H01021,2020-03-12,2.2,-0.04445176257083361
877,SUZLON,EQ,N,2.15,2.1,2.1,2.1,2.1,2.2,19582030,41279264.2,7.95,1.8,8511,INE040H01021,2020-03-13,2.11,-0.04652001563489294
878,SUZLON,EQ,N,2.15,2.0,2.1,2.0,2.05,2.1,15704198,32129090.45,7.95,1.8,52138,INE040H01021,2020-03-16,2.05,-0.04879016416943205
879,SUZLON,EQ,N,2.1,2.0,2.05,2.05,2.0,2.0,14349098,29410367.45,7.95,1.8,34582,INE040H01021,2020-03-17,2.05,0.024692612590371477
880,SUZLON,EQ,N,2.1,1.95,2.05,2.0,2.0,2.05,19912541,40162068.6,7.95,1.8,51920,INE040H01021,2020-03-18,2.02,-0.024692612590371477
881,SUZLON,EQ,N,1.95,1.9,1.95,1.9,1.95,2.0,14475986,27647640.4,7.95,1.8,25156,INE040H01021,2020-03-19,1.91,-0.05129329438755059
882,SUZLON,EQ,N,1.95,1.85,1.95,1.9,1.95,1.9,14341279,27457990.15,7.95,1.8,29123,INE040H01021,2020-03-20,1.91,0.0
883,SUZLON,EQ,N,1.9,1.85,1.85,1.85,1.85,1.9,13711542,25479736.3,7.95,1.8,29425,INE040H01021,2020-03-23,1.86,-0.0266682470821612
884,SUZLON,EQ,N,1.9,1.8,1.85,1.8,1.8,1.85,8617350,15710019.55,7.95,1.8,74943,INE040H01021,2020-03-24,1.82,-0.027398974188114433
885,SUZLON,EQ,N,1.8,1.75,1.75,1.75,1.75,1.8,5361226,9390895.95,7.95,1.75,5043,INE040H01021,2020-03-25,1.75,-0.0281708769666964
886,SUZLON,EQ,N,1.8,1.7,1.7,1.8,1.8,1.75,14056247,24355155.15,7.95,1.7,7638,INE040H01021,2020-03-26,1.73,0.0281708769666964
887,SUZLON,EQ,N,1.85,1.8,1.85,1.85,1.85,1.8,4100389,7577935.95,7.95,1.7,2141,INE040H01021,2020-03-27,1.85,0.027398974188114433
888,SUZLON,EQ,N,1.9,1.85,1.85,1.9,1.9,1.85,9709076,18400023.8,7.95,1.7,2460,INE040H01021,2020-03-30,1.9,0.0266682470821612
889,SUZLON,EQ,N,1.95,1.95,1.95,1.95,1.95,1.9,2097722,4090557.9,7.95,1.7,757,INE040H01021,2020-03-31,1.95,0.02597548640326075
890,SUZLON,EQ,N,2.0,2.0,2.0,2.0,2.0,1.95,1573588,3147176.0,7.95,1.7,770,INE040H01021,2020-04-01,2.0,0.025317807984289842
891,SUZLON,EQ,N,2.1,2.1,2.1,2.1,2.1,2.0,2977651,6253067.1,7.95,1.7,1059,INE040H01021,2020-04-03,2.1,0.04879016416943205
892,SUZLON,EQ,N,2.2,2.2,2.2,2.2,2.2,2.1,3565198,7843435.6,7.95,1.7,969,INE040H01021,2020-04-07,2.2,0.04652001563489294
893,SUZLON,EQ,N,2.3,2.3,2.3,2.3,2.3,2.2,1243218,2859401.4,7.95,1.7,767,INE040H01021,2020-04-08,2.3,0.04445176257083361
894,SUZLON,EQ,N,2.4,2.4,2.4,2.4,2.4,2.3,1315915,3158196.0,7.95,1.7,776,INE040H01021,2020-04-09,2.4,0.042559614418795966
831,SUZLON,EQ,N,2.5,2.5,2.5,2.5,2.5,2.4,2833993,7084982.5,7.95,1.7,1256,INE040H01021,2020-04-13,2.5,0.040821994520255256
832,SUZLON,EQ,N,2.6,2.6,2.6,2.6,2.6,2.5,1867206,4854735.6,7.95,1.7,972,INE040H01021,2020-04-15,2.6,0.03922071315328124
833,SUZLON,EQ,N,2.7,2.7,2.7,2.7,2.7,2.6,1826693,4932071.1,7.95,1.7,863,INE040H01021,2020-04-16,2.7,0.0377403279828471
834,SUZLON,EQ,N,2.8,2.8,2.8,2.8,2.8,2.7,2826461,7914090.8,7.95,1.7,1106,INE040H01021,2020-04-17,2.8,0.03636764417087468
835,SUZLON,EQ,N,2.9,2.9,2.9,2.9,2.9,2.8,2955448,8570799.2,7.5,1.7,1335,INE040H01021,2020-04-20,2.9,0.035091319811270116
836,SUZLON,EQ,N,3.0,3.0,3.0,3.0,3.0,2.9,4166120,12498360.0,7.5,1.7,1899,INE040H01021,2020-04-21,3.0,0.03390155167568154
837,SUZLON,EQ,N,3.15,2.85,3.15,2.85,2.85,3.0,64423295,189655298.6,7.5,1.7,20451,INE040H01021,2020-04-22,2.94,-0.05129329438755059
838,SUZLON,EQ,N,2.8,2.75,2.75,2.75,2.75,2.85,11960020,32935603.3,7.5,1.7,7250,INE040H01021,2020-04-23,2.75,-0.035718082602079315
839,SUZLON,EQ,N,2.65,2.65,2.65,2.65,2.65,2.75,3137482,8314327.3,7.5,1.7,3140,INE040H01021,2020-04-24,2.65,-0.0370412716803491
840,SUZLON,EQ,N,2.7,2.55,2.6,2.65,2.65,2.65,36398200,95134334.15,7.3,1.7,105079,INE040H01021,2020-04-27,2.61,0.0
841,SUZLON,EQ,N,2.75,2.6,2.7,2.7,2.7,2.65,9823144,26366011.85,7.3,1.7,36026,INE040H01021,2020-04-28,2.68,0.018692133012152667
842,SUZLON,EQ,N,2.75,2.6,2.75,2.65,2.7,2.7,8469963,22550016.3,7.3,1.7,84756,INE040H01021,2020-04-29,2.66,-0.018692133012152667
843,SUZLON,EQ,N,2.7,2.6,2.7,2.6,2.65,2.65,12697078,33609781.25,7.3,1.7,49564,INE040H01021,2020-04-30,2.65,-0.019048194970694432
844,SUZLON,EQ,N,2.6,2.5,2.55,2.5,2.55,2.6,8920526,22479413.35,6.75,1.7,47053,INE040H01021,2020-05-04,2.52,-0.03922071315328124
845,SUZLON,EQ,N,2.55,2.45,2.55,2.45,2.5,2.5,5305386,13174667.5,6.75,1.7,66902,INE040H01021,2020-05-05,2.48,-0.020202707317519386
846,SUZLON,EQ,N,2.5,2.35,2.45,2.35,2.4,2.45,9542475,22791931.85,6.75,1.7,101667,INE040H01021,2020-05-06,2.39,-0.04167269640056814
847,SUZLON,EQ,N,2.45,2.3,2.35,2.45,2.45,2.35,7140587,17205822.05,6.75,1.7,3092,INE040H01021,2020-05-07,2.41,0.04167269640056814
848,SUZLON,EQ,N,2.55,2.55,2.55,2.55,2.55,2.45,1925408,4909790.4,6.75,1.7,1042,INE040H01021,2020-05-08,2.55,0.04000533461369904
849,SUZLON,EQ,N,2.65,2.45,2.65,2.6,2.55,2.55,22506648,58213411.25,6.45,1.7,81808,INE040H01021,2020-05-11,2.59,0.019418085857101586
850,SUZLON,EQ,N,2.65,2.5,2.6,2.55,2.5,2.6,5248114,13323941.55,6.45,1.7,72515,INE040H01021,2020-05-12,2.54,-0.019418085857101586
851,SUZLON,EQ,N,2.6,2.55,2.6,2.6,2.55,2.55,5240855,13514384.7,6.45,1.7,94470,INE040H01021,2020-05-13,2.58,0.019418085857101586
852,SUZLON,EQ,N,2.65,2.55,2.6,2.65,2.65,2.6,6086189,15914932.7,6.45,1.7,93647,INE040H01021,2020-05-14,2.61,0.019048194970694432
