Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,TATAMOTORS,EQ,N,133.9,123.8,133.0,125.4,125.1,128.95,111585697,14381475114.05,239.35,106.0,340443,INE155A01022,2020-03-02,128.88,
996,TATAMOTORS,EQ,N,131.4,125.25,127.5,130.35,130.4,125.4,86765576,11094977773.95,239.35,106.0,287946,INE155A01022,2020-03-03,127.87,0.03871451218069044
1000,TATAMOTORS,EQ,N,129.6,120.55,129.6,126.2,126.4,130.35,97546902,12183611418.4,239.35,106.0,294498,INE155A01022,2020-03-04,124.9,-0.03235519027239775
1005,TATAMOTORS,EQ,N,129.15,124.25,127.55,125.75,124.75,126.2,87795649,11102025232.35,239.35,106.0,268826,INE155A01022,2020-03-05,126.45,-0.003572141127264672
1006,TATAMOTORS,EQ,N,117.3,112.8,115.0,114.2,113.8,125.75,83971462,9649959731.3,239.35,106.0,331758,INE155A01022,2020-03-06,114.92,-0.09634451175793846
1007,TATAMOTORS,EQ,N,109.85,104.25,109.0,105.7,104.9,114.2,81550460,8741634311.05,239.35,104.25,284834,INE155A01022,2020-03-09,107.19,-0.07734640434571816
1008,TATAMOTORS,EQ,N,106.5,97.8,104.85,98.9,98.35,105.7,111148611,11323926446.3,239.35,97.8,335274,INE155A01022,2020-03-11,101.88,-0.06649565424752524
1009,TATAMOTORS,EQ,N,94.9,84.1,91.1,88.0,88.95,98.9,143551005,12823134333.1,239.35,84.1,483314,INE155A01022,2020-03-12,89.33,-0.11677242415045974
1010,TATAMOTORS,EQ,N,94.15,78.05,81.9,89.75,90.5,88.0,106153102,9253211498.25,239.35,78.05,428426,INE155A01022,2020-03-13,87.17,0.01969121289018183
1011,TATAMOTORS,EQ,N,87.65,82.2,85.6,82.95,82.6,89.75,73707690,6264695282.2,239.35,78.05,280638,INE155A01022,2020-03-16,84.99,-0.07879001073193503
1012,TATAMOTORS,EQ,N,85.0,77.4,83.05,77.95,77.5,82.95,71849223,5860881651.1,239.35,77.4,294238,INE155A01022,2020-03-17,81.57,-0.06217042113266835
1013,TATAMOTORS,EQ,N,80.45,75.1,79.9,75.5,75.4,77.95,70134169,5420935074.25,239.35,75.1,255759,INE155A01022,2020-03-18,77.29,-0.031934939248806415
1014,TATAMOTORS,EQ,N,76.5,68.75,70.0,72.95,72.9,75.5,68124538,4961345452.9,239.35,68.75,258513,INE155A01022,2020-03-19,72.83,-0.03435838128618407
1015,TATAMOTORS,EQ,N,79.6,72.65,74.0,77.3,77.8,72.95,86044637,6545378298.55,239.35,68.75,260134,INE155A01022,2020-03-20,76.07,0.05791968062458164
1016,TATAMOTORS,EQ,N,72.0,66.0,70.0,66.2,66.7,77.3,34184331,2353225185.2,239.35,66.0,205748,INE155A01022,2020-03-23,68.84,-0.1550134926504141
1017,TATAMOTORS,EQ,N,71.5,63.5,69.9,68.55,68.95,66.2,49553202,3368402736.2,239.35,63.5,231290,INE155A01022,2020-03-24,67.98,0.03488294306536055
1018,TATAMOTORS,EQ,N,71.7,67.25,67.75,70.25,70.1,68.55,57716006,3996750125.95,239.35,63.5,221008,INE155A01022,2020-03-25,69.25,0.024496902205532578
1019,TATAMOTORS,EQ,N,73.5,68.3,71.45,70.8,70.95,70.25,63822905,4525109545.4,239.35,63.5,240944,INE155A01022,2020-03-26,70.9,0.007798692485818215
1020,TATAMOTORS,EQ,N,75.9,69.35,72.05,70.7,70.7,70.8,58824452,4240753903.3,239.35,63.5,221468,INE155A01022,2020-03-27,72.09,-0.0014134277971464826
1021,TATAMOTORS,EQ,N,70.0,67.25,68.8,68.15,68.4,70.7,35278179,2420105926.65,239.35,63.5,145591,INE155A01022,2020-03-30,68.6,-0.03673441475998551
1022,TATAMOTORS,EQ,N,71.5,68.2,70.6,71.05,70.75,68.15,46166723,3235587579.6,239.35,63.5,176816,INE155A01022,2020-03-31,70.08,0.04167269640056759
1023,TATAMOTORS,EQ,N,71.65,67.55,70.5,67.95,67.95,71.05,38167981,2639050316.25,239.35,63.5,158063,INE155A01022,2020-04-01,69.14,-0.04461171394595631
1024,TATAMOTORS,EQ,N,66.9,64.8,66.9,65.3,65.45,67.95,35346490,2315141908.3,239.35,63.5,161810,INE155A01022,2020-04-03,65.5,-0.03978010431476786
1025,TATAMOTORS,EQ,N,69.3,66.9,68.55,67.25,67.2,65.3,42070735,2852689753.5,239.35,63.5,149087,INE155A01022,2020-04-07,67.81,0.029424982199563132
1026,TATAMOTORS,EQ,N,71.6,65.4,66.5,67.6,67.75,67.25,82182403,5651185283.15,239.35,63.5,248580,INE155A01022,2020-04-08,68.76,0.005190964566970102
1027,TATAMOTORS,EQ,N,76.25,69.1,69.6,74.6,74.5,67.6,112680750,8317423006.45,239.35,63.5,350425,INE155A01022,2020-04-09,73.81,0.09853252416079705
968,TATAMOTORS,EQ,N,77.6,72.7,76.0,74.25,74.5,74.6,70414018,5243381173.05,239.35,63.5,256322,INE155A01022,2020-04-13,74.47,-0.004702729526906424
969,TATAMOTORS,EQ,N,78.7,71.95,75.4,72.9,73.1,74.25,81126343,6119055679.55,239.35,63.5,277572,INE155A01022,2020-04-15,75.43,-0.018349138668196652
970,TATAMOTORS,EQ,N,75.4,71.0,71.75,74.65,75.1,72.9,47910556,3530429563.4,239.35,63.5,152202,INE155A01022,2020-04-16,73.69,0.023721884970586693
971,TATAMOTORS,EQ,N,78.3,74.7,78.3,76.85,76.85,74.65,58336227,4440093616.1,239.35,63.5,186796,INE155A01022,2020-04-17,76.11,0.02904494599940577
972,TATAMOTORS,EQ,N,83.4,75.5,76.85,80.45,80.1,76.85,125427754,10152471072.75,239.35,63.5,400016,INE155A01022,2020-04-20,80.94,0.04578040345378742
973,TATAMOTORS,EQ,N,78.0,74.0,78.0,74.65,74.45,80.45,58249560,4396212525.25,239.35,63.5,223568,INE155A01022,2020-04-21,75.47,-0.07482534945319319
974,TATAMOTORS,EQ,N,76.55,72.55,74.45,75.9,76.15,74.65,56529909,4202665230.0,239.35,63.5,183754,INE155A01022,2020-04-22,74.34,0.016606160416385407
975,TATAMOTORS,EQ,N,78.65,75.4,76.75,75.65,75.9,75.9,50372620,3875896447.15,239.35,63.5,161989,INE155A01022,2020-04-23,76.94,-0.003299244167219051
976,TATAMOTORS,EQ,N,76.9,74.0,75.0,74.2,74.3,75.65,40054235,3024343540.85,239.35,63.5,129250,INE155A01022,2020-04-24,75.51,-0.019353290061030926
977,TATAMOTORS,EQ,N,76.2,74.8,75.9,75.25,75.15,74.2,27835405,2098869538.6,218.65,63.5,93555,INE155A01022,2020-04-27,75.4,0.014051753455651017
978,TATAMOTORS,EQ,N,78.2,75.2,75.65,76.95,76.85,75.25,34825466,2675737156.65,218.65,63.5,107365,INE155A01022,2020-04-28,76.83,0.022339956655902604
979,TATAMOTORS,EQ,N,79.3,76.55,77.45,78.15,78.15,76.95,40785025,3184101597.95,218.65,63.5,133880,INE155A01022,2020-04-29,78.07,0.015474196582597521
980,TATAMOTORS,EQ,N,93.75,85.95,85.95,93.25,93.75,78.15,170645234,15233902188.6,218.65,63.5,519684,INE155A01022,2020-04-30,89.27,0.17665400165643952
981,TATAMOTORS,EQ,N,87.2,81.5,87.0,83.9,84.05,93.25,91167307,7666846446.55,204.5,63.5,327945,INE155A01022,2020-05-04,84.1,-0.10565844505076427
982,TATAMOTORS,EQ,N,86.8,80.4,86.0,80.9,81.0,83.9,57123018,4816372491.95,204.5,63.5,194041,INE155A01022,2020-05-05,84.32,-0.03641178940871459
983,TATAMOTORS,EQ,N,83.95,80.35,81.55,83.2,83.7,80.9,53739428,4435743139.4,204.5,63.5,166733,INE155A01022,2020-05-06,82.54,0.028033523762716506
984,TATAMOTORS,EQ,N,84.65,82.1,82.9,82.5,82.55,83.2,31160671,2595015270.6,204.5,63.5,119183,INE155A01022,2020-05-07,83.28,-0.008449054486527885
985,TATAMOTORS,EQ,N,84.95,80.55,84.5,81.05,81.2,82.5,35363226,2916175375.35,204.5,63.5,135944,INE155A01022,2020-05-08,82.46,-0.017732045158949994
986,TATAMOTORS,EQ,N,90.65,81.4,81.45,86.1,85.85,81.05,152592033,13267842790.6,201.7,63.5,470511,INE155A01022,2020-05-11,86.95,0.06044316325199972
987,TATAMOTORS,EQ,N,87.7,83.5,85.95,86.2,86.45,86.1,77552355,6593767114.5,201.7,63.5,245351,INE155A01022,2020-05-12,85.02,0.0011607662359631732
988,TATAMOTORS,EQ,N,92.5,86.25,92.5,87.2,88.0,86.2,68086246,6036002630.4,201.7,63.5,237994,INE155A01022,2020-05-13,88.65,0.01153415324528595
989,TATAMOTORS,EQ,N,85.3,82.55,83.95,83.8,83.9,87.2,46341703,3896726738.7,201.7,63.5,173963,INE155A01022,2020-05-14,84.09,-0.03977132342689682
990,TATAMOTORS,EQ,N,85.35,82.8,84.7,84.35,84.15,83.8,38594210,3238366014.3,201.7,63.5,124113,INE155A01022,2020-05-15,83.91,0.006541801503940015
991,TATAMOTORS,EQ,N,84.5,79.6,84.5,80.65,80.9,84.35,44221575,3588181738.75,201.7,63.5,163410,INE155A01022,2020-05-18,81.14,-0.0448560044207591
992,TATAMOTORS,EQ,N,85.65,81.5,82.5,81.8,82.3,80.65,65379359,5469427810.4,201.7,63.5,194462,INE155A01022,2020-05-19,83.66,0.014158439037483816
993,TATAMOTORS,EQ,N,84.4,80.7,81.25,83.45,83.65,81.8,36351616,3015914660.45,201.7,63.5,116445,INE155A01022,2020-05-20,82.97,0.019970406499142612
