Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,TORNTPOWER,EQ,N,314.3,303.1,304.9,309.3,309.35,302.95,1992380,615582720.35,332.8,231.05,17213,INE813H01021,2020-03-02,308.97,
996,TORNTPOWER,EQ,N,322.0,312.0,318.0,318.6,319.6,309.3,1668834,527662010.4,332.8,231.05,15180,INE813H01021,2020-03-03,316.19,0.029624717784924037
1001,TORNTPOWER,EQ,N,322.0,308.4,319.4,314.85,314.0,318.6,1532681,481171404.95,332.8,231.05,14749,INE813H01021,2020-03-04,313.94,-0.011840062541196517
1006,TORNTPOWER,EQ,N,321.5,313.45,317.9,316.25,315.1,314.85,1027384,327149541.0,332.8,231.05,10129,INE813H01021,2020-03-05,318.43,0.004436705106978245
1007,TORNTPOWER,EQ,N,317.55,305.3,310.0,314.75,315.1,316.25,974178,305719515.7,332.8,231.05,10673,INE813H01021,2020-03-06,313.82,-0.004754367117273617
1008,TORNTPOWER,EQ,N,313.9,303.2,313.9,309.2,308.0,314.75,1798464,552236747.7,332.8,231.05,15159,INE813H01021,2020-03-09,307.06,-0.017790356211189184
1009,TORNTPOWER,EQ,N,314.55,305.0,310.5,307.35,307.0,309.2,1646289,507789571.7,332.8,231.05,25443,INE813H01021,2020-03-11,308.44,-0.0060011533602484235
1010,TORNTPOWER,EQ,N,299.1,280.1,293.1,289.9,290.0,307.35,2498085,723245146.2,332.8,231.05,21439,INE813H01021,2020-03-12,289.52,-0.0584511274254087
1011,TORNTPOWER,EQ,N,297.85,231.95,262.6,289.55,287.75,289.9,2466700,687122958.7,332.8,231.05,40713,INE813H01021,2020-03-13,278.56,-0.0012080422558113924
1012,TORNTPOWER,EQ,N,290.75,269.5,276.5,277.25,275.35,289.55,2066170,586806309.2,332.8,231.05,44017,INE813H01021,2020-03-16,284.01,-0.04340836744132215
1013,TORNTPOWER,EQ,N,291.75,273.05,279.0,281.35,281.65,277.25,1067279,304354866.55,332.8,231.05,17866,INE813H01021,2020-03-17,285.17,0.014679819648811154
1014,TORNTPOWER,EQ,N,287.0,274.8,287.0,278.25,278.05,281.35,1306719,365318754.7,332.8,231.05,26375,INE813H01021,2020-03-18,279.57,-0.011079455723633558
1015,TORNTPOWER,EQ,N,285.9,261.55,273.0,274.5,272.15,278.25,1547850,424706531.15,332.8,231.05,29412,INE813H01021,2020-03-19,274.38,-0.013568729206069108
1016,TORNTPOWER,EQ,N,294.55,263.25,278.5,286.75,287.8,274.5,2575407,709520488.7,332.8,231.05,34375,INE813H01021,2020-03-20,275.5,0.04365949505989519
1017,TORNTPOWER,EQ,N,274.0,243.75,270.5,249.5,246.9,286.75,793699,202557113.2,332.8,231.05,8144,INE813H01021,2020-03-23,255.21,-0.13915184081790688
1018,TORNTPOWER,EQ,N,274.95,260.0,260.0,270.65,274.85,249.5,1926162,516565293.0,332.8,231.05,33370,INE813H01021,2020-03-24,268.18,0.08136755805141327
1019,TORNTPOWER,EQ,N,283.8,269.15,271.45,276.8,278.0,270.65,867802,240261773.05,332.8,231.05,12389,INE813H01021,2020-03-25,276.86,0.022468750500528323
1020,TORNTPOWER,EQ,N,292.95,270.45,278.0,286.8,287.0,276.8,1456208,407950526.1,332.8,231.05,17809,INE813H01021,2020-03-26,280.15,0.03548988498195005
1021,TORNTPOWER,EQ,N,298.8,265.0,298.8,271.85,273.25,286.8,1554871,431835931.85,332.8,231.05,31959,INE813H01021,2020-03-27,277.73,-0.05353466513353489
1022,TORNTPOWER,EQ,N,275.85,267.8,270.95,274.05,273.25,271.85,708334,193927903.25,332.8,231.05,10697,INE813H01021,2020-03-30,273.78,0.008060127900195724
1023,TORNTPOWER,EQ,N,282.55,269.9,279.0,279.05,280.0,274.05,946099,260705215.55,332.8,231.05,13316,INE813H01021,2020-03-31,275.56,0.018080405742316508
1024,TORNTPOWER,EQ,N,284.25,276.25,280.0,280.95,282.4,279.05,622792,174605931.85,332.8,231.05,10854,INE813H01021,2020-04-01,280.36,0.006785740323764777
