DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1143.15,1152.75,1131.05,1139.25,1135.0,1142.1,1145.06,1818.9,839.95,3332,3815330.3,687,EXCELINDUS
2022-12-29,EQ,1125.95,1142.25,1114.25,1136.2,1139.0,1139.25,1129.17,1818.9,839.95,4692,5298066.6,999,EXCELINDUS
2022-12-28,EQ,1123.3,1201.3,1109.45,1123.1,1131.05,1136.2,1143.38,1818.9,839.95,20301,23211659.8,2278,EXCELINDUS
2022-12-27,EQ,1098.0,1145.0,1094.9,1092.55,1120.0,1123.1,1120.83,1818.9,839.95,8358,9367866.35,1544,EXCELINDUS
2022-12-26,EQ,1066.0,1095.45,1045.05,1052.95,1091.0,1092.55,1078.35,1818.9,839.95,5621,6061405.3,1170,EXCELINDUS
2022-12-23,EQ,1080.0,1097.75,1050.0,1104.75,1050.0,1052.95,1070.05,1818.9,837.25,11916,12750723.7,2189,EXCELINDUS
2022-12-22,EQ,1150.2,1159.3,1096.85,1144.45,1102.05,1104.75,1110.3,1818.9,837.25,15344,17036452.05,3574,EXCELINDUS
2022-12-21,EQ,1181.2,1199.3,1131.55,1181.2,1140.5,1144.45,1159.89,1818.9,837.25,13199,15309406.75,2037,EXCELINDUS
2022-12-20,EQ,1180.15,1185.05,1170.5,1180.15,1185.0,1181.2,1177.22,1818.9,837.25,5908,6954991.5,1279,EXCELINDUS
2022-12-19,EQ,1189.9,1194.9,1165.5,1191.9,1184.6,1180.15,1180.6,1818.9,837.25,7674,9059901.6,1017,EXCELINDUS
2022-12-16,EQ,1205.0,1205.0,1188.3,1208.85,1193.5,1191.9,1195.9,1818.9,837.25,8514,10181855.75,1091,EXCELINDUS
2022-12-15,EQ,1230.0,1230.0,1201.0,1224.7,1206.0,1208.85,1211.74,1818.9,837.25,11322,13719313.45,1209,EXCELINDUS
2022-12-14,EQ,1217.2,1240.35,1206.65,1211.1,1223.5,1224.7,1225.83,1818.9,837.25,12339,15125537.05,1594,EXCELINDUS
2022-12-13,EQ,1208.2,1215.65,1198.45,1202.15,1207.6,1211.1,1207.25,1818.9,837.25,5365,6476922.4,618,EXCELINDUS
2022-12-12,EQ,1190.0,1219.25,1190.0,1213.15,1205.0,1202.15,1200.69,1818.9,837.25,3630,4358516.2,670,EXCELINDUS
2022-12-09,EQ,1209.2,1220.0,1202.95,1208.45,1215.0,1213.15,1208.39,1818.9,837.25,7112,8594080.85,726,EXCELINDUS
2022-12-08,EQ,1224.6,1228.0,1204.0,1218.5,1205.1,1208.45,1213.47,1818.9,837.25,5239,6357379.55,738,EXCELINDUS
2022-12-07,EQ,1212.4,1226.9,1211.05,1217.55,1220.05,1218.5,1219.48,1818.9,837.25,7353,8966808.2,838,EXCELINDUS
2022-12-06,EQ,1218.2,1230.0,1213.0,1218.2,1220.0,1217.55,1222.18,1818.9,837.25,11867,14503563.1,1345,EXCELINDUS
2022-12-05,EQ,1192.0,1224.45,1188.05,1187.65,1219.0,1218.2,1211.65,1818.9,837.25,15920,19289493.8,1994,EXCELINDUS
2022-12-02,EQ,1212.0,1219.7,1178.0,1206.7,1185.8,1187.65,1187.61,1818.9,820.85,17893,21249920.05,1708,EXCELINDUS
2022-12-01,EQ,1200.0,1214.7,1194.0,1199.6,1204.0,1206.7,1204.58,1818.9,820.85,8365,10076319.25,1286,EXCELINDUS
2022-11-30,EQ,1197.0,1207.0,1187.95,1187.95,1202.0,1199.6,1199.64,1818.9,820.85,5162,6192552.65,883,EXCELINDUS
2022-11-29,EQ,1198.65,1207.8,1185.1,1195.5,1188.0,1187.95,1197.75,1818.9,820.85,6840,8192618.05,1353,EXCELINDUS
2022-11-28,EQ,1170.0,1204.7,1170.0,1176.4,1192.65,1195.5,1195.66,1818.9,820.85,7493,8959075.65,1503,EXCELINDUS
2022-11-25,EQ,1178.7,1180.0,1171.85,1173.2,1180.0,1176.4,1175.78,1818.9,820.85,6372,7492060.05,608,EXCELINDUS
2022-11-24,EQ,1185.0,1185.0,1170.0,1179.9,1170.0,1173.2,1175.37,1818.9,820.85,5683,6679617.65,766,EXCELINDUS
2022-11-23,EQ,1176.65,1188.8,1176.35,1170.8,1178.15,1179.9,1182.53,1818.9,820.85,6060,7166157.2,1119,EXCELINDUS
2022-11-22,EQ,1191.45,1196.5,1163.0,1185.5,1170.0,1170.8,1172.84,1818.9,820.85,7549,8853751.65,1524,EXCELINDUS
2022-11-21,EQ,1184.0,1210.4,1165.6,1194.05,1182.35,1185.5,1184.48,1818.9,820.85,7862,9312347.35,1322,EXCELINDUS
2022-11-18,EQ,1211.0,1219.7,1182.85,1210.1,1195.0,1194.05,1198.52,1818.9,820.85,9469,11348802.0,2184,EXCELINDUS
2022-11-17,EQ,1185.05,1214.95,1171.6,1181.75,1209.0,1210.1,1198.16,1818.9,820.85,33756,40444921.45,5813,EXCELINDUS
2022-11-16,EQ,1180.0,1214.45,1175.0,1179.3,1188.8,1181.75,1192.14,1818.9,820.85,17832,21258151.6,3204,EXCELINDUS
2022-11-15,EQ,1172.0,1187.2,1152.0,1167.85,1180.0,1179.3,1165.06,1818.9,820.85,12561,14634351.65,2646,EXCELINDUS
2022-11-14,EQ,1175.0,1195.85,1165.0,1202.75,1171.0,1167.85,1174.89,1818.9,820.85,22780,26764050.9,3472,EXCELINDUS
2022-11-11,EQ,1210.0,1223.05,1171.4,1219.95,1205.4,1202.75,1203.66,1818.9,820.85,23821,28672452.35,3261,EXCELINDUS
2022-11-10,EQ,1231.0,1245.05,1211.1,1231.9,1217.5,1219.95,1229.19,1818.9,820.85,6276,7714368.8,1207,EXCELINDUS
2022-11-09,EQ,1225.2,1240.95,1214.3,1219.1,1226.6,1231.9,1229.71,1818.9,820.85,10169,12504961.3,2617,EXCELINDUS
2022-11-07,EQ,1255.0,1256.7,1210.0,1250.4,1220.0,1219.1,1227.4,1818.9,820.85,14417,17695483.55,3835,EXCELINDUS
2022-11-04,EQ,1255.0,1255.75,1235.0,1237.25,1255.0,1250.4,1248.5,1818.9,820.85,9287,11594843.8,2123,EXCELINDUS
2022-11-03,EQ,1190.0,1245.0,1185.5,1192.65,1245.0,1237.25,1226.22,1818.9,820.85,20592,25250415.7,3971,EXCELINDUS
2022-11-02,EQ,1185.35,1209.0,1173.6,1179.5,1196.45,1192.65,1196.47,1818.9,820.85,11271,13485467.95,1871,EXCELINDUS
2022-11-01,EQ,1181.35,1201.5,1172.55,1181.35,1182.0,1179.5,1186.21,1818.9,820.85,12752,15126537.65,2816,EXCELINDUS
2022-10-31,EQ,1166.0,1194.55,1160.0,1175.05,1189.5,1181.35,1181.61,1818.9,820.85,7014,8287831.75,1514,EXCELINDUS
2022-10-28,EQ,1199.9,1205.9,1165.65,1199.9,1174.0,1175.05,1186.68,1818.9,820.85,20952,24863287.4,7469,EXCELINDUS
2022-10-27,EQ,1206.0,1210.6,1185.0,1188.9,1202.0,1199.9,1200.65,1818.9,820.85,11111,13340401.6,3009,EXCELINDUS
2022-10-25,EQ,1217.85,1217.85,1185.8,1212.65,1188.0,1188.9,1194.63,1818.9,820.85,12299,14692731.5,2161,EXCELINDUS
2022-10-24,EQ,1210.0,1227.0,1205.45,1207.05,1215.0,1212.65,1213.13,1818.9,820.85,4210,5107279.55,575,EXCELINDUS
2022-10-21,EQ,1218.0,1226.0,1201.35,1210.0,1216.7,1207.05,1212.89,1818.9,820.85,12660,15355186.6,1844,EXCELINDUS
2022-10-20,EQ,1221.45,1237.9,1191.0,1221.45,1211.0,1210.0,1219.51,1818.9,820.85,11372,13868269.25,1176,EXCELINDUS
2022-10-19,EQ,1232.15,1240.9,1210.5,1226.0,1229.9,1221.45,1226.44,1818.9,820.85,7492,9188500.7,1284,EXCELINDUS
