DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,668.4,679.05,666.65,665.05,668.2,670.9,672.84,748.9,285.5,85332,57414670.4,6118,GESHIP
2022-12-29,EQ,660.0,673.95,650.65,659.45,660.0,665.05,659.09,748.9,285.5,139310,91817961.0,13318,GESHIP
2022-12-28,EQ,680.15,684.7,653.0,680.4,656.9,659.45,663.83,748.9,285.5,243152,161412311.55,10549,GESHIP
2022-12-27,EQ,680.0,693.2,665.2,665.0,688.45,680.4,677.45,748.9,285.5,174755,118388506.15,7219,GESHIP
2022-12-26,EQ,641.55,671.95,633.0,650.55,670.0,665.0,659.89,748.9,285.5,272925,180100629.85,11861,GESHIP
2022-12-23,EQ,705.0,707.85,637.65,717.65,650.0,650.55,653.97,748.9,265.0,908088,593862286.15,38568,GESHIP
2022-12-22,EQ,712.0,725.0,690.05,717.8,713.45,717.65,712.46,748.9,265.0,330215,235266446.15,19132,GESHIP
2022-12-21,EQ,729.0,748.9,691.55,725.75,709.5,717.8,728.39,748.9,265.0,795663,579549512.35,25869,GESHIP
2022-12-20,EQ,705.05,730.0,705.05,708.8,725.0,725.75,723.17,734.0,265.0,568252,410943223.1,19874,GESHIP
2022-12-19,EQ,699.55,713.85,689.1,699.85,708.9,708.8,705.02,734.0,265.0,212487,149807436.05,10600,GESHIP
2022-12-16,EQ,683.65,702.0,680.05,685.5,698.0,699.85,697.08,734.0,265.0,344650,240249314.6,12586,GESHIP
2022-12-15,EQ,719.85,726.9,678.95,717.9,688.5,685.5,696.99,734.0,265.0,257965,179799304.2,10797,GESHIP
2022-12-14,EQ,720.0,734.0,706.5,714.4,720.0,717.9,720.47,734.0,265.0,526028,378988850.95,24002,GESHIP
2022-12-13,EQ,689.5,727.9,689.5,687.65,714.9,714.4,712.96,727.9,265.0,874898,623770175.35,33994,GESHIP
2022-12-12,EQ,679.6,705.75,677.05,679.6,687.1,687.65,693.02,709.9,265.0,345012,239100515.5,16804,GESHIP
2022-12-09,EQ,694.8,708.85,671.7,691.0,681.0,679.6,691.74,709.9,265.0,333342,230584972.3,17556,GESHIP
2022-12-08,EQ,684.4,699.35,676.1,684.4,690.0,691.0,687.24,709.9,265.0,256370,176186882.65,11450,GESHIP
2022-12-07,EQ,683.0,686.95,671.45,682.05,685.2,684.4,679.92,709.9,265.0,161816,110021881.85,8860,GESHIP
2022-12-06,EQ,684.15,690.6,680.0,691.05,680.1,682.05,685.28,709.9,265.0,139509,95602090.15,9096,GESHIP
2022-12-05,EQ,697.05,702.9,684.05,693.95,685.5,691.05,693.16,709.9,265.0,276996,192001487.0,15830,GESHIP
2022-12-02,EQ,679.1,697.0,671.25,679.1,693.6,693.95,686.48,709.9,265.0,260429,178778305.1,12467,GESHIP
2022-12-01,EQ,668.95,692.5,664.5,663.65,679.1,679.1,681.5,709.9,265.0,437465,298133163.6,21569,GESHIP
2022-11-30,EQ,691.1,695.0,652.5,686.65,666.0,663.65,677.23,709.9,265.0,442975,299994665.0,17751,GESHIP
2022-11-29,EQ,700.0,700.7,675.0,692.85,686.0,686.65,684.92,709.9,265.0,360941,247216558.45,19489,GESHIP
2022-11-28,EQ,675.4,709.9,675.4,666.45,693.9,692.85,696.06,709.9,265.0,1413338,983766925.65,36582,GESHIP
