DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2021-10-12,EQ,3.8,3.8,3.8,3.65,3.8,3.8,3.8,3.8,1.7,1027,3902.6,3,GISOLUTION
2021-10-11,EQ,3.65,3.65,3.65,3.5,3.65,3.65,3.65,3.65,1.7,202,737.3,2,GISOLUTION
2021-10-08,EQ,3.5,3.5,3.5,3.35,3.5,3.5,3.5,3.5,1.7,6513,22795.5,6,GISOLUTION
2021-10-07,EQ,3.35,3.35,3.35,3.2,3.35,3.35,3.35,3.35,1.7,1310,4388.5,5,GISOLUTION
2021-10-06,EQ,3.2,3.2,3.2,3.05,3.2,3.2,3.2,3.35,1.7,1793,5737.6,7,GISOLUTION
2021-10-05,EQ,3.05,3.05,3.05,2.95,3.05,3.05,3.05,3.35,1.7,35657,108753.85,7,GISOLUTION
2021-10-04,EQ,2.95,2.95,2.95,2.85,2.95,2.95,2.95,3.35,1.7,20551,60625.45,3,GISOLUTION
2021-10-01,EQ,2.85,2.85,2.85,2.75,2.85,2.85,2.85,3.35,1.7,3247,9253.95,18,GISOLUTION
2021-09-30,EQ,2.7,2.75,2.7,2.65,2.75,2.75,2.71,3.35,1.7,424,1150.8,19,GISOLUTION
2021-09-29,EQ,2.65,2.65,2.65,2.6,2.65,2.65,2.65,3.35,1.7,39,103.35,7,GISOLUTION
2021-09-28,EQ,2.75,2.75,2.6,2.7,2.6,2.6,2.64,3.35,1.7,4683,12344.7,12,GISOLUTION
2021-09-27,EQ,2.85,2.85,2.65,2.75,2.8,2.7,2.76,3.35,1.7,17237,47510.75,95,GISOLUTION
2021-09-24,EQ,2.95,2.95,2.75,2.85,2.75,2.75,2.85,3.35,1.7,11527,32802.3,39,GISOLUTION
2021-09-23,EQ,3.0,3.0,2.8,2.9,2.85,2.85,2.97,3.35,1.7,4994,14841.1,45,GISOLUTION
2021-09-22,EQ,2.9,2.9,2.7,2.8,2.9,2.9,2.75,3.35,1.7,6443,17744.5,36,GISOLUTION
2021-09-21,EQ,2.9,2.9,2.7,2.8,2.8,2.8,2.83,3.35,1.7,16036,45325.2,26,GISOLUTION
2021-09-20,EQ,2.8,2.8,2.75,2.7,2.8,2.8,2.8,3.35,1.7,40219,112568.2,75,GISOLUTION
2021-09-17,EQ,2.7,2.7,2.5,2.6,2.7,2.7,2.6,3.35,1.7,3566,9272.35,15,GISOLUTION
2021-09-16,EQ,2.65,2.65,2.55,2.65,2.6,2.6,2.59,3.35,1.7,1664,4302.3,15,GISOLUTION
2021-09-15,EQ,2.65,2.65,2.65,2.75,2.65,2.65,2.65,3.35,1.6,3100,8215.0,5,GISOLUTION
2021-06-07,EQ,3.3,3.3,3.3,3.15,3.3,3.3,3.3,3.35,1.6,731,2412.3,5,GISOLUTION
2021-06-04,EQ,3.15,3.15,3.15,3.0,3.15,3.15,3.15,3.35,1.6,1303,4104.45,6,GISOLUTION
2021-06-03,EQ,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.35,1.6,4051,12153.0,3,GISOLUTION
2021-06-02,EQ,2.9,2.9,2.9,2.8,2.9,2.9,2.9,3.35,1.6,8379,24299.1,5,GISOLUTION
2021-06-01,EQ,2.8,2.8,2.8,2.7,2.8,2.8,2.8,3.35,1.6,26540,74312.0,9,GISOLUTION
2021-05-31,EQ,2.7,2.7,2.7,2.7,2.7,2.7,2.7,3.35,1.6,50,135.0,1,GISOLUTION
2021-05-28,EQ,2.6,2.7,2.6,2.6,2.7,2.7,2.63,3.35,1.6,3099,8162.4,12,GISOLUTION
2021-05-27,EQ,2.6,2.6,2.4,2.5,2.6,2.6,2.54,3.35,1.6,1110,2823.0,7,GISOLUTION
2021-05-26,EQ,2.5,2.5,2.5,2.4,2.5,2.5,2.5,3.35,1.6,250,625.0,1,GISOLUTION
