DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,423.0,430.3,421.1,421.8,424.8,424.15,425.73,531.25,348.5,512285,218093924.85,13013,GLENMARK
2022-12-29,EQ,420.8,424.95,415.55,421.35,421.05,421.8,419.52,531.25,348.5,851969,357418183.55,12972,GLENMARK
2022-12-28,EQ,424.0,426.0,418.3,423.4,421.0,421.35,422.14,531.25,348.5,770742,325357250.7,10531,GLENMARK
2022-12-27,EQ,425.05,431.7,420.85,425.05,423.35,423.4,424.75,531.25,348.5,631005,268016898.2,9896,GLENMARK
2022-12-26,EQ,432.0,432.0,419.4,429.15,423.5,425.05,424.43,531.25,348.5,1097283,465717957.0,19351,GLENMARK
2022-12-23,EQ,436.4,443.95,426.75,436.4,431.0,429.15,436.44,531.25,348.5,2093633,913750026.25,34198,GLENMARK
2022-12-22,EQ,445.7,451.0,428.4,440.4,436.7,436.4,439.24,531.25,348.5,3196842,1404187076.4,49531,GLENMARK
2022-12-21,EQ,410.05,442.0,410.05,409.25,442.0,440.4,435.28,531.25,348.5,6127038,2666970617.1,83875,GLENMARK
2022-12-20,EQ,417.9,418.9,406.9,416.75,409.6,409.25,410.78,531.25,348.5,545371,224025431.0,10310,GLENMARK
2022-12-19,EQ,421.1,421.85,413.25,417.8,416.9,416.75,416.85,531.25,348.5,1083503,451659951.4,16962,GLENMARK
2022-12-16,EQ,435.0,436.0,416.85,436.45,418.0,417.8,421.78,542.7,348.5,1095594,462103504.55,16316,GLENMARK
2022-12-15,EQ,441.0,445.15,434.0,439.55,435.55,436.45,439.87,542.7,348.5,1674739,736668099.6,31805,GLENMARK
2022-12-14,EQ,431.2,440.6,431.2,433.3,439.0,439.55,438.73,542.7,348.5,722596,317025105.35,14242,GLENMARK
2022-12-13,EQ,427.2,434.3,424.2,425.05,432.85,433.3,429.1,542.7,348.5,750499,322037719.5,15918,GLENMARK
2022-12-12,EQ,428.2,429.9,415.2,437.0,424.8,425.05,423.65,542.7,348.5,2511390,1063961699.35,44711,GLENMARK
2022-12-09,EQ,432.9,444.65,431.6,431.25,435.4,437.0,439.25,542.7,348.5,1373373,603250756.15,20787,GLENMARK
2022-12-08,EQ,421.85,432.65,421.55,421.85,431.0,431.25,427.55,542.7,348.5,676369,289179524.85,10003,GLENMARK
2022-12-07,EQ,425.95,427.7,420.2,425.15,421.05,421.85,424.9,542.7,348.5,577777,245499366.85,9546,GLENMARK
2022-12-06,EQ,435.75,437.0,424.0,435.8,424.5,425.15,427.0,542.7,348.5,830364,354562443.05,12600,GLENMARK
2022-12-05,EQ,434.95,439.4,431.0,434.95,434.55,435.8,435.69,542.7,348.5,955377,416243691.65,15174,GLENMARK
2022-12-02,EQ,430.7,436.5,426.55,430.7,434.0,434.95,432.47,542.7,348.5,527052,227935267.95,10053,GLENMARK
2022-12-01,EQ,436.0,436.0,427.75,430.7,429.0,430.7,430.72,542.7,348.5,511155,220164465.75,7410,GLENMARK
