DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,367.8,368.55,363.75,364.45,366.0,365.65,366.07,519.9,301.1,90007,32949306.5,4188,GOKEX
2022-12-29,EQ,368.75,368.75,359.75,367.3,365.5,364.45,364.43,519.9,301.1,107137,39043434.6,4738,GOKEX
2022-12-28,EQ,360.3,370.7,358.3,359.7,368.0,367.3,365.98,519.9,301.1,132141,48361271.9,5556,GOKEX
2022-12-27,EQ,346.0,361.95,346.0,343.7,359.9,359.7,356.47,519.9,301.1,246260,87783286.05,10972,GOKEX
2022-12-26,EQ,341.6,351.3,335.6,341.6,344.7,343.7,344.6,519.9,301.1,171254,59013337.2,7761,GOKEX
2022-12-23,EQ,339.55,349.05,328.4,341.55,342.5,341.6,338.16,519.9,263.2,370770,125380828.35,13351,GOKEX
2022-12-22,EQ,362.9,364.0,340.0,360.9,344.05,341.55,348.57,519.9,263.2,273747,95419090.4,11659,GOKEX
2022-12-21,EQ,373.05,376.4,358.3,372.5,359.0,360.9,366.07,519.9,263.2,192235,70371665.6,7358,GOKEX
2022-12-20,EQ,383.7,387.65,370.85,382.8,372.6,372.5,377.5,519.9,263.2,154251,58228986.85,6699,GOKEX
2022-12-19,EQ,380.0,387.85,379.8,379.75,382.15,382.8,384.25,519.9,263.2,164968,63388191.85,7398,GOKEX
2022-12-16,EQ,374.0,388.9,373.75,374.6,384.5,379.75,381.7,519.9,263.2,255098,97371529.8,9502,GOKEX
2022-12-15,EQ,376.0,381.6,373.0,376.45,377.0,374.6,377.02,519.9,263.2,79075,29813091.7,4969,GOKEX
2022-12-14,EQ,377.85,382.4,374.05,376.3,376.25,376.45,377.01,519.9,263.2,127757,48165908.7,4805,GOKEX
2022-12-13,EQ,372.0,386.95,370.15,371.7,375.0,376.3,380.26,519.9,263.2,393846,149762686.35,12267,GOKEX
2022-12-12,EQ,369.9,374.95,363.0,368.85,370.0,371.7,371.86,519.9,263.2,233251,86736631.9,12517,GOKEX
2022-12-09,EQ,373.0,375.35,366.55,372.45,369.0,368.85,370.49,519.9,263.2,153541,56884943.0,6270,GOKEX
2022-12-08,EQ,366.1,379.15,365.5,367.45,370.0,372.45,371.87,519.9,263.2,587425,218444899.75,11163,GOKEX
2022-12-07,EQ,379.8,379.8,364.5,378.05,367.9,367.45,369.97,519.9,263.2,299387,110764174.45,12011,GOKEX
2022-12-06,EQ,382.0,387.2,375.7,387.7,378.0,378.05,379.63,519.9,263.2,306502,116358478.8,9815,GOKEX
2022-12-05,EQ,390.45,393.0,385.5,388.2,388.3,387.7,388.53,519.9,263.2,203297,78986836.15,5249,GOKEX
2022-12-02,EQ,391.95,394.0,386.05,392.8,389.1,388.2,389.29,519.9,255.25,134816,52483118.4,5122,GOKEX
2022-12-01,EQ,388.7,403.0,385.25,385.45,392.2,392.8,395.62,519.9,255.25,512547,202775320.4,14289,GOKEX
2022-11-30,EQ,390.0,396.45,382.5,375.8,384.0,385.45,389.72,519.9,255.25,478397,186442981.15,14965,GOKEX
2022-11-29,EQ,382.75,384.55,371.9,381.65,375.4,375.8,376.48,519.9,255.25,175665,66134257.7,7470,GOKEX
2022-11-28,EQ,381.0,393.0,378.05,381.35,380.3,381.65,385.28,519.9,255.25,212880,82018436.05,8464,GOKEX
2022-11-25,EQ,379.75,387.0,375.7,378.0,382.7,381.35,381.38,519.9,243.05,128974,49187731.45,4785,GOKEX
2022-11-24,EQ,388.0,391.8,375.4,384.45,377.0,378.0,385.67,519.9,243.05,300038,115716694.85,8896,GOKEX
2022-11-23,EQ,370.0,388.65,365.0,368.4,386.0,384.45,379.18,519.9,243.05,358947,136104334.6,9253,GOKEX
2022-11-22,EQ,371.0,375.0,366.15,367.75,368.5,368.4,370.63,519.9,243.05,159302,59042599.95,5799,GOKEX
2022-11-21,EQ,359.35,370.4,355.55,360.7,368.0,367.75,365.77,519.9,243.05,232199,84931360.35,8768,GOKEX
2022-11-18,EQ,365.5,365.9,357.15,365.45,360.0,360.7,360.3,519.9,238.05,177205,63846651.25,6360,GOKEX
2022-11-17,EQ,370.0,370.0,364.05,372.85,365.0,365.45,367.08,519.9,238.05,103098,37845708.05,4806,GOKEX
2022-11-16,EQ,361.0,376.5,361.0,364.0,369.9,372.85,369.47,519.9,238.05,265854,98225747.95,9284,GOKEX
2022-11-15,EQ,364.2,367.75,360.4,364.2,362.0,364.0,363.25,519.9,238.05,151867,55165796.0,5919,GOKEX
2022-11-14,EQ,365.6,366.0,355.65,363.5,364.75,364.2,361.13,519.9,238.05,197513,71326917.2,7923,GOKEX
2022-11-11,EQ,365.95,378.45,361.0,361.15,364.9,363.5,370.36,519.9,234.15,473488,175359378.2,15613,GOKEX
2022-11-10,EQ,362.0,367.9,357.1,368.05,362.9,361.15,361.77,519.9,234.15,120630,43640545.7,4964,GOKEX
2022-11-09,EQ,368.85,372.85,364.05,365.95,364.6,368.05,368.56,519.9,234.15,224116,82599842.65,12670,GOKEX
2022-11-07,EQ,360.0,368.25,357.9,357.9,366.4,365.95,363.84,519.9,234.15,254125,92459970.95,13221,GOKEX
2022-11-04,EQ,374.8,375.75,356.1,373.1,358.45,357.9,361.82,519.9,222.45,557977,201886591.05,17982,GOKEX
2022-11-03,EQ,373.25,382.35,368.45,378.15,373.4,373.1,374.7,519.9,222.45,178643,66937076.7,6589,GOKEX
2022-11-02,EQ,383.5,384.95,375.8,383.55,377.9,378.15,379.9,519.9,222.45,189155,71860418.6,8573,GOKEX
2022-11-01,EQ,370.0,388.5,366.35,367.0,384.6,383.55,376.15,519.9,222.45,460301,173140189.65,14688,GOKEX
2022-10-31,EQ,382.0,389.7,364.3,379.4,366.45,367.0,377.2,519.9,222.45,574396,216664949.4,19020,GOKEX
2022-10-28,EQ,375.1,395.0,375.1,362.0,378.15,379.4,384.05,519.9,186.45,2641673,1014530449.5,76843,GOKEX
2022-10-27,EQ,352.6,365.8,352.6,352.3,361.2,362.0,360.75,519.9,186.45,251275,90647529.6,8365,GOKEX
2022-10-25,EQ,358.5,358.5,350.7,358.5,351.85,352.3,353.28,519.9,186.45,392341,138606369.65,4970,GOKEX
2022-10-24,EQ,355.6,359.8,353.5,352.45,358.35,358.5,357.54,519.9,186.45,48879,17475969.9,1553,GOKEX
2022-10-21,EQ,356.7,357.3,350.0,353.85,351.45,352.45,353.23,519.9,186.45,143444,50669049.95,5603,GOKEX
2022-10-20,EQ,353.35,356.95,348.5,353.0,356.0,353.85,352.62,519.9,186.45,148068,52211983.85,6581,GOKEX
2022-10-19,EQ,359.15,359.8,348.6,357.1,354.95,353.0,355.63,519.9,186.45,578026,205562208.7,11216,GOKEX
2022-10-18,EQ,378.0,379.0,352.55,374.6,357.2,357.1,361.97,519.9,186.45,480385,173886516.95,15808,GOKEX
2022-10-17,EQ,384.75,384.75,367.85,384.75,377.0,374.6,375.5,519.9,186.45,344771,129460949.15,11271,GOKEX
2022-10-14,EQ,390.8,390.8,380.0,383.15,384.0,384.75,384.14,519.9,186.45,317174,121840613.75,14732,GOKEX
2022-10-13,EQ,376.6,387.0,372.85,374.95,384.0,383.15,380.54,519.9,186.45,502279,191139471.65,20930,GOKEX
2022-10-12,EQ,364.95,393.95,359.5,362.4,377.9,374.95,377.37,519.9,186.45,1334999,503782404.5,36466,GOKEX
2022-10-11,EQ,387.6,388.7,357.0,385.25,359.75,362.4,369.81,519.9,186.45,653655,241725184.95,20619,GOKEX
2022-10-10,EQ,386.3,407.0,381.0,397.7,384.1,385.25,389.71,519.9,186.45,954958,372157938.9,22563,GOKEX
2022-10-07,EQ,408.4,424.7,396.0,406.35,396.5,397.7,410.11,519.9,186.45,1457166,597594762.35,38348,GOKEX
