DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,47.0,47.05,46.8,46.75,46.95,46.95,46.95,47.2,40.85,73942,3471421.75,280,GOLDSHARE
2022-12-29,EQ,46.75,46.9,46.6,46.55,46.8,46.75,46.74,47.2,40.85,49781,2326730.2,223,GOLDSHARE
2022-12-28,EQ,46.5,46.9,46.5,46.7,46.55,46.55,46.68,47.2,40.85,66342,3096578.2,260,GOLDSHARE
2022-12-27,EQ,46.2,46.75,46.15,46.45,46.75,46.7,46.55,47.2,40.85,172274,8019030.15,426,GOLDSHARE
2022-12-26,EQ,47.2,47.2,46.4,46.7,46.4,46.45,46.61,47.2,40.85,58476,2725626.7,347,GOLDSHARE
2022-12-23,EQ,46.2,46.8,46.2,46.9,46.7,46.7,46.51,47.1,40.85,103157,4797588.45,507,GOLDSHARE
2022-12-22,EQ,46.8,47.1,46.65,46.75,46.65,46.9,46.92,47.1,40.85,112485,5277525.7,622,GOLDSHARE
2022-12-21,EQ,46.45,46.9,46.45,46.6,46.8,46.75,46.78,46.95,40.85,152784,7146821.35,486,GOLDSHARE
2022-12-20,EQ,46.35,46.7,46.05,46.4,46.7,46.6,46.32,46.95,40.85,178814,8282881.05,385,GOLDSHARE
2022-12-19,EQ,46.3,46.5,46.2,46.1,46.3,46.4,46.35,46.95,40.85,95829,4442145.95,362,GOLDSHARE
2022-12-16,EQ,46.4,46.4,46.0,46.05,46.1,46.1,46.19,46.95,40.85,90262,4169385.85,339,GOLDSHARE
2022-12-15,EQ,46.4,46.45,46.0,46.5,46.0,46.05,46.31,46.95,40.85,46340,2146005.25,323,GOLDSHARE
2022-12-14,EQ,46.55,46.65,46.3,46.1,46.5,46.5,46.54,46.95,40.85,119918,5581171.2,329,GOLDSHARE
2022-12-13,EQ,46.15,46.2,45.85,46.1,46.15,46.1,46.11,46.95,40.85,34962,1612244.45,214,GOLDSHARE
2022-12-12,EQ,46.4,46.4,45.9,46.0,46.1,46.1,46.13,46.95,40.85,72595,3349127.55,394,GOLDSHARE
2022-12-09,EQ,46.0,46.2,45.8,46.0,46.0,46.0,46.05,46.95,40.85,38382,1767327.2,298,GOLDSHARE
2022-12-08,EQ,45.85,46.2,45.8,45.85,45.95,46.0,45.99,46.95,40.85,47931,2204520.7,278,GOLDSHARE
2022-12-07,EQ,45.55,46.05,44.3,46.05,45.9,45.85,45.9,46.95,40.85,64789,2973531.3,318,GOLDSHARE
2022-12-06,EQ,45.3,46.15,45.3,46.0,46.05,46.05,45.86,46.95,40.85,113513,5205536.15,290,GOLDSHARE
2022-12-05,EQ,45.75,46.25,45.75,45.8,46.0,46.0,46.06,46.95,40.85,98230,4524714.05,537,GOLDSHARE
2022-12-02,EQ,46.05,46.05,45.5,45.4,45.9,45.8,45.69,46.95,40.85,90720,4145167.3,438,GOLDSHARE
2022-12-01,EQ,45.55,45.6,45.25,45.05,45.4,45.4,45.4,46.95,40.85,70469,3198986.25,424,GOLDSHARE
2022-11-30,EQ,44.7,45.2,44.6,45.05,45.05,45.05,45.03,46.95,40.85,87682,3948422.05,292,GOLDSHARE
2022-11-29,EQ,44.85,45.2,44.85,45.2,45.0,45.05,45.05,46.95,40.85,26793,1206975.4,214,GOLDSHARE
2022-11-28,EQ,45.0,45.3,44.8,45.0,45.3,45.2,45.05,46.95,40.85,64672,2913428.45,341,GOLDSHARE
2022-11-25,EQ,45.2,45.2,44.95,44.95,45.0,45.0,45.03,46.95,40.85,34265,1543077.15,215,GOLDSHARE
2022-11-24,EQ,45.0,45.2,44.85,45.0,44.9,44.95,45.0,46.95,40.85,57994,2610003.85,328,GOLDSHARE
2022-11-23,EQ,44.5,45.1,41.75,44.85,45.1,45.0,44.85,46.95,40.85,56611,2539144.55,264,GOLDSHARE
2022-11-22,EQ,45.0,45.0,44.7,44.8,44.9,44.85,44.88,46.95,40.85,20661,927202.15,210,GOLDSHARE
2022-11-21,EQ,45.15,45.25,44.55,45.35,44.6,44.8,44.89,46.95,40.85,89717,4027116.95,434,GOLDSHARE
2022-11-18,EQ,45.2,45.45,45.0,45.2,45.35,45.35,45.25,46.95,40.85,36730,1662165.75,278,GOLDSHARE
2022-11-17,EQ,44.9,45.35,44.85,45.35,45.2,45.2,45.14,46.95,40.85,82213,3710794.25,320,GOLDSHARE
2022-11-16,EQ,44.95,45.4,44.95,45.25,45.4,45.35,45.24,46.95,40.85,53835,2435276.0,291,GOLDSHARE
2022-11-15,EQ,44.75,45.3,44.3,44.85,45.2,45.25,45.15,46.95,40.85,88286,3986180.6,365,GOLDSHARE
2022-11-14,EQ,44.4,45.0,44.3,44.8,44.75,44.85,44.81,46.95,40.85,121908,5462789.8,437,GOLDSHARE
2022-11-11,EQ,44.25,44.85,44.15,44.05,44.85,44.8,44.61,46.95,40.85,218700,9757284.8,505,GOLDSHARE
2022-11-10,EQ,43.55,44.1,43.15,43.85,44.05,44.05,44.0,46.95,40.85,71969,3166516.15,345,GOLDSHARE
2022-11-09,EQ,44.2,44.25,43.7,43.7,43.95,43.85,43.94,46.95,40.85,119391,5246092.4,517,GOLDSHARE
2022-11-07,EQ,44.15,44.15,43.35,43.35,43.65,43.7,43.61,46.95,40.85,67139,2928205.65,343,GOLDSHARE
2022-11-04,EQ,43.6,43.75,43.2,43.2,43.2,43.35,43.4,46.95,40.05,145980,6336123.05,291,GOLDSHARE
2022-11-03,EQ,42.9,43.4,42.9,43.5,43.2,43.2,43.25,46.95,40.05,153719,6648103.5,275,GOLDSHARE
2022-11-02,EQ,43.05,43.6,43.0,43.35,43.5,43.5,43.48,46.95,40.05,89856,3906702.95,302,GOLDSHARE
2022-11-01,EQ,43.35,43.6,42.9,43.3,43.25,43.35,43.34,46.95,40.05,172269,7466987.15,342,GOLDSHARE
2022-10-31,EQ,43.25,43.4,42.95,43.3,43.35,43.3,43.15,46.95,40.05,27874,1202668.8,286,GOLDSHARE
2022-10-28,EQ,43.4,43.55,43.2,43.35,43.2,43.3,43.35,46.95,40.05,35215,1526533.8,301,GOLDSHARE
2022-10-27,EQ,43.15,43.8,43.1,43.25,43.5,43.35,43.39,46.95,40.05,28609,1241209.2,312,GOLDSHARE
2022-10-25,EQ,43.8,43.85,43.2,43.5,43.25,43.25,43.35,46.95,40.05,26266,1138509.85,322,GOLDSHARE
2022-10-24,EQ,46.55,46.55,43.1,42.75,43.5,43.5,43.59,46.95,40.05,121389,5291874.05,1150,GOLDSHARE
2022-10-21,EQ,42.95,43.0,42.6,43.0,42.75,42.75,42.76,46.95,40.05,62110,2656000.5,456,GOLDSHARE
2022-10-20,EQ,42.3,43.1,42.3,42.95,43.0,43.0,42.93,46.95,40.05,41711,1790852.3,327,GOLDSHARE
2022-10-19,EQ,43.05,43.15,42.7,43.05,42.95,42.95,42.9,46.95,40.05,50740,2176966.0,385,GOLDSHARE
2022-10-18,EQ,42.9,43.15,42.7,42.95,43.05,43.05,43.07,46.95,40.05,29912,1288238.45,253,GOLDSHARE
2022-10-17,EQ,43.1,43.2,42.75,43.2,43.0,42.95,42.99,46.95,40.05,180978,7780271.85,441,GOLDSHARE
2022-10-14,EQ,43.5,43.5,43.1,43.55,43.2,43.2,43.4,46.95,40.05,107151,4650857.9,257,GOLDSHARE
2022-10-13,EQ,43.6,43.65,43.3,43.4,43.5,43.55,43.47,46.95,40.05,54251,2358051.7,252,GOLDSHARE
2022-10-12,EQ,43.3,43.5,43.15,43.3,43.45,43.4,43.37,46.95,40.05,33354,1446639.85,215,GOLDSHARE
2022-10-11,EQ,43.45,43.45,43.25,43.55,43.4,43.3,43.29,46.95,40.05,81535,3529357.6,234,GOLDSHARE
2022-10-10,EQ,44.2,44.2,43.5,44.25,43.7,43.55,43.68,46.95,40.05,111399,4866131.5,353,GOLDSHARE
2022-10-07,EQ,43.85,44.4,43.85,44.05,44.3,44.25,44.23,46.95,40.05,118987,5262766.75,306,GOLDSHARE
2022-10-06,EQ,43.95,44.45,43.8,43.9,44.1,44.05,44.18,46.95,40.05,38941,1720406.85,440,GOLDSHARE
2022-10-04,EQ,43.4,43.95,43.05,43.1,43.95,43.9,43.73,46.95,40.05,117364,5131834.1,395,GOLDSHARE
2022-10-03,EQ,43.15,43.2,42.9,43.0,43.15,43.1,43.08,46.95,40.05,75967,3272485.4,384,GOLDSHARE
2022-09-30,EQ,42.55,43.25,42.55,42.9,43.1,43.0,42.97,46.95,40.05,150717,6475674.25,346,GOLDSHARE
2022-09-29,EQ,43.35,43.35,42.55,42.25,42.9,42.9,42.87,46.95,40.05,48520,2079885.3,239,GOLDSHARE
2022-09-28,EQ,42.05,42.5,42.05,42.35,42.15,42.25,42.38,46.95,40.05,53346,2260735.5,254,GOLDSHARE
2022-09-27,EQ,42.65,42.65,42.05,42.5,42.25,42.35,42.36,46.95,40.05,63806,2702558.1,386,GOLDSHARE
2022-09-26,EQ,42.7,42.9,42.35,42.7,42.35,42.5,42.44,46.95,40.05,121721,5165631.9,424,GOLDSHARE
2022-09-23,EQ,42.55,43.5,42.55,43.05,42.8,42.7,42.9,46.95,40.05,218435,9371009.75,392,GOLDSHARE
2022-09-22,EQ,42.95,43.25,42.3,42.8,42.95,43.05,42.75,46.95,40.05,69662,2978116.1,356,GOLDSHARE
2022-09-21,EQ,42.55,43.0,42.35,42.75,43.0,42.8,42.64,46.95,40.05,62500,2665119.8,346,GOLDSHARE
2022-09-20,EQ,42.9,42.95,42.55,42.5,42.75,42.75,42.79,46.95,40.05,31413,1344103.7,254,GOLDSHARE
2022-09-19,EQ,43.0,43.65,42.3,42.5,42.35,42.5,42.5,46.95,40.05,120162,5107020.1,584,GOLDSHARE
2022-09-16,EQ,42.4,43.0,42.1,43.05,42.4,42.5,42.7,46.95,40.05,151693,6477142.5,787,GOLDSHARE
2022-09-15,EQ,43.05,43.15,42.85,43.15,43.15,43.05,43.02,46.95,40.05,61570,2648490.05,518,GOLDSHARE
