DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,145.25,147.15,144.35,142.25,144.35,144.65,146.29,232.5,137.0,431652,63148156.1,4126,GREENPLY
2022-12-29,EQ,143.0,143.55,141.15,143.05,142.1,142.25,142.47,232.5,137.0,65589,9344695.5,3224,GREENPLY
2022-12-28,EQ,139.0,143.85,139.0,141.35,143.45,143.05,141.54,232.5,137.0,180229,25508920.0,5316,GREENPLY
2022-12-27,EQ,147.4,148.2,139.25,145.3,140.0,141.35,142.76,232.5,137.0,189790,27094182.45,6330,GREENPLY
2022-12-26,EQ,138.0,145.75,138.0,137.65,145.7,145.3,143.11,232.5,137.0,98050,14032367.8,5058,GREENPLY
2022-12-23,EQ,144.0,144.35,137.0,144.7,139.55,137.65,139.52,232.5,137.0,710811,99169765.25,8138,GREENPLY
2022-12-22,EQ,151.0,151.55,144.0,150.5,144.5,144.7,145.86,232.5,144.0,188783,27535197.1,6564,GREENPLY
2022-12-21,EQ,154.45,154.7,150.0,152.9,150.8,150.5,151.87,232.5,150.0,99634,15131578.7,4082,GREENPLY
2022-12-20,EQ,154.7,154.7,152.55,153.9,153.0,152.9,153.03,232.5,152.55,82934,12691543.9,2782,GREENPLY
2022-12-19,EQ,156.95,156.95,153.55,155.8,153.85,153.9,154.66,232.5,153.55,94580,14627479.95,3805,GREENPLY
2022-12-16,EQ,155.95,157.0,154.1,154.95,156.0,155.8,155.53,232.5,154.1,96354,14985457.55,4128,GREENPLY
2022-12-15,EQ,155.3,156.8,154.8,154.95,154.95,154.95,155.54,232.5,154.6,87037,13537689.85,3447,GREENPLY
2022-12-14,EQ,155.0,156.4,154.75,154.95,155.0,154.95,155.41,232.5,154.6,151155,23490851.3,5171,GREENPLY
2022-12-13,EQ,156.4,157.45,154.75,154.95,155.0,154.95,155.78,232.5,154.6,182732,28465562.7,8584,GREENPLY
2022-12-12,EQ,159.4,159.65,154.6,159.5,155.0,154.95,156.15,232.5,154.6,187202,29231414.3,7837,GREENPLY
2022-12-09,EQ,161.8,161.8,158.4,160.85,159.35,159.5,159.87,232.5,154.65,70457,11263688.15,3106,GREENPLY
2022-12-08,EQ,161.8,161.8,160.25,160.8,160.8,160.85,160.91,232.5,154.65,57521,9255938.9,2236,GREENPLY
2022-12-07,EQ,161.05,161.9,160.25,161.0,160.9,160.8,161.21,232.5,154.65,96613,15575064.55,2510,GREENPLY
2022-12-06,EQ,161.0,161.2,160.25,160.15,161.0,161.0,160.83,232.5,154.65,59903,9634438.3,2121,GREENPLY
