DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,1038.9,1049.85,1025.25,1030.65,1032.3,1030.35,1038.42,1945.75,890.8,148938,154659924.05,8938,HEG
2022-12-29,EQ,1028.0,1034.0,1015.45,1029.0,1031.0,1030.65,1024.34,1945.75,890.8,105980,108560035.05,9200,HEG
2022-12-28,EQ,1040.0,1044.25,1024.0,1041.25,1025.95,1029.0,1031.28,1945.75,890.8,186091,191912041.65,9483,HEG
2022-12-27,EQ,987.0,1055.55,986.0,963.1,1043.6,1041.25,1036.75,1945.75,890.8,1251111,1297090173.35,57348,HEG
2022-12-26,EQ,941.5,977.65,932.6,941.5,968.0,963.1,960.92,1945.75,890.8,130917,125800171.5,9726,HEG
2022-12-23,EQ,992.9,992.9,934.0,997.75,946.05,941.5,961.69,1945.75,890.8,192738,185353277.35,15426,HEG
2022-12-22,EQ,1028.0,1033.45,995.0,1023.05,998.0,997.75,1006.1,1945.75,890.8,132676,133485092.9,10681,HEG
2022-12-21,EQ,1059.0,1067.5,1017.65,1054.75,1023.8,1023.05,1040.81,1945.75,890.8,157856,164298366.85,10743,HEG
2022-12-20,EQ,1051.0,1066.05,1050.0,1052.6,1053.8,1054.75,1056.88,1945.75,890.8,103486,109372582.35,5916,HEG
2022-12-19,EQ,1057.25,1063.35,1048.85,1053.25,1054.0,1052.6,1054.29,1945.75,890.8,88110,92893056.4,5648,HEG
2022-12-16,EQ,1078.0,1078.75,1045.55,1078.75,1054.0,1053.25,1063.44,1945.75,890.8,167370,177988046.3,10535,HEG
2022-12-15,EQ,1071.1,1112.85,1070.0,1073.6,1077.0,1078.75,1090.79,1945.75,890.8,508780,554971820.65,23101,HEG
2022-12-14,EQ,1070.0,1085.0,1062.95,1064.15,1076.0,1073.6,1075.63,1945.75,890.8,205707,221263800.25,12129,HEG
2022-12-13,EQ,1074.0,1095.75,1060.0,1065.5,1062.1,1064.15,1078.41,1945.75,890.8,276955,298670131.85,18574,HEG
2022-12-12,EQ,1052.85,1071.0,1035.3,1050.25,1070.0,1065.5,1056.26,1945.75,890.8,145623,153815094.7,9611,HEG
2022-12-09,EQ,1064.7,1066.7,1038.0,1059.1,1055.0,1050.25,1052.53,1945.75,890.8,107817,113480887.5,7404,HEG
